osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
303866,76,2700201,Anadia,AL,AAD,2028005,anadia,BR-AL-Anadia,82,"{""area_sr"": 0.01559, ""area_km2"": 189, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1249, ""elongation_factor"": 1.35, ""postalCode_ranges"": ""[57660-000 57669-999]""}"
303810,76,2700300,Arapiraca,AL,AIR,626175,arapiraca,BR-AL-Arapiraca,82,"{""area_sr"": 0.0295, ""area_km2"": 358, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 18.9, ""side_estim_deg"": 0.1718, ""elongation_factor"": 1.45, ""postalCode_ranges"": ""[57300-001 57319-999]""}"
303816,76,2700409,Atalaia,AL,ATL,928274,atalaia,BR-AL-Atalaia,82,"{""area_sr"": 0.04355, ""area_km2"": 529, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 23, ""side_estim_deg"": 0.2087, ""elongation_factor"": 1.29, ""postalCode_ranges"": ""[57690-000 57699-999]""}"
303799,76,2700508,"Barra de Santo Antônio",AL,BNA,1795908,barra.santo.antonio,BR-AL-BarraSantoAntonio,82,"{""area_sr"": 0.01149, ""area_km2"": 140, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 11.8, ""side_estim_deg"": 0.1072, ""elongation_factor"": 2.25, ""postalCode_ranges"": ""[57925-000 57929-999]""}"
303796,76,2700607,"Barra de São Miguel",AL,BDG,2027348,barra.sao.miguel,BR-AL-BarraSaoMiguel,82,"{""area_sr"": 0.0064, ""area_km2"": 78, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.08, ""elongation_factor"": 2.42, ""postalCode_ranges"": ""[57180-000 57199-999]""}"
303819,76,2700706,Batalha,AL,BTH,2028288,batalha,BR-AL-Batalha,82,"{""area_sr"": 0.02646, ""area_km2"": 321, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 17.9, ""side_estim_deg"": 0.1627, ""elongation_factor"": 1.37, ""postalCode_ranges"": ""[57420-000 57424-999]""}"
303786,76,2700904,"Belo Monte",AL,BLN,1795566,belo.monte,BR-AL-BeloMonte,82,"{""area_sr"": 0.02723, ""area_km2"": 330, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 18.2, ""side_estim_deg"": 0.165, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[57435-000 57439-999]""}"
303824,76,2700805,Belém,AL,BLX,2028301,belem,BR-AL-Belem,82,"{""area_sr"": 0.00404, ""area_km2"": 49, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 7, ""side_estim_deg"": 0.0636, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[57630-000 57634-999]""}"
303834,76,2701001,"Boca da Mata",AL,BOD,1772672,boca.mata,BR-AL-BocaMata,82,"{""area_sr"": 0.01533, ""area_km2"": 186, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1238, ""elongation_factor"": 1.53, ""postalCode_ranges"": ""[57680-000 57689-999]""}"
303828,76,2701100,Branquinha,AL,BQH,2021035,branquinha,BR-AL-Branquinha,82,"{""area_sr"": 0.01363, ""area_km2"": 166, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1168, ""elongation_factor"": 2.41, ""postalCode_ranges"": ""[57830-000 57839-999]""}"
303853,76,2701209,Cacimbinhas,AL,CBH,1808791,cacimbinhas,BR-AL-Cacimbinhas,82,"{""area_sr"": 0.02236, ""area_km2"": 272, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 16.5, ""side_estim_deg"": 0.1495, ""elongation_factor"": 1.4, ""postalCode_ranges"": ""[57570-000 57579-999]""}"
303859,76,2701308,Cajueiro,AL,CJO,2019063,cajueiro,BR-AL-Cajueiro,82,"{""area_sr"": 0.01019, ""area_km2"": 124, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1009, ""elongation_factor"": 1.33, ""postalCode_ranges"": ""[57770-000 57779-999]""}"
303849,76,2701357,Campestre,AL,,2028637,campestre,BR-AL-Campestre,82,"{""area_sr"": 0.0054, ""area_km2"": 66, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 8.1, ""side_estim_deg"": 0.0735, ""elongation_factor"": 2.03, ""postalCode_ranges"": ""[57968-000 57969-999]""}"
303808,76,2701407,"Campo Alegre",AL,CLR,2028275,campo.alegre,BR-AL-CampoAlegre,82,"{""area_sr"": 0.02533, ""area_km2"": 307, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1592, ""elongation_factor"": 1.75, ""postalCode_ranges"": ""[57250-000 57254-999]""}"
303836,76,2701506,"Campo Grande",AL,CGN,1814259,campo.grande,BR-AL-CampoGrande,82,"{""area_sr"": 0.01373, ""area_km2"": 167, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1172, ""elongation_factor"": 1.56, ""postalCode_ranges"": ""[57350-000 57359-999]""}"
