osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
332499,76,1300029,Alvarães,AM,AVY,1808573,alvaraes,BR-AM-Alvaraes,97,"{""postalCode_ranges"": ""[69540-000 69549-999]""}"
332512,76,1300060,Amaturá,AM,ATK,1772609,amatura,BR-AM-Amatura,97,"{""postalCode_ranges"": ""[69620-000 69629-999]""}"
332497,76,1300086,Anamã,AM,AAK,974915,anama,BR-AM-Anama,97,"{""postalCode_ranges"": ""[69445-000 69449-999]""}"
332474,76,1300102,Anori,AM,ANR,931090,anori,BR-AM-Anori,97,"{""postalCode_ranges"": ""[69440-000 69444-999]""}"
332502,76,1300144,Apuí,AM,,1112525,apui,BR-AM-Apui,97,"{""postalCode_ranges"": ""[69265-000 69279-999]""}"
332473,76,1300201,Atalaia do Norte,AM,ATN,1793319,atalaia.norte,BR-AM-AtalaiaNorte,97,"{""postalCode_ranges"": ""[69650-000 69659-999]""}"
332503,76,1300300,Autazes,AM,AZS,1772695,autazes,BR-AM-Autazes,92,"{""postalCode_ranges"": ""[69240-000 69249-999]""}"
332478,76,1300409,Barcelos,AM,BCL,807939,barcelos,BR-AM-Barcelos,97,"{""postalCode_ranges"": ""[69700-000 69729-999]""}"
332522,76,1300508,Barreirinha,AM,BAE,1772565,barreirinha,BR-AM-Barreirinha,92,"{""postalCode_ranges"": ""[69160-000 69179-999]""}"
332518,76,1300607,Benjamin Constant,AM,BCT,1767926,benjamin.constant,BR-AM-BenjaminConstant,97,"{""postalCode_ranges"": ""[69630-000 69639-999]""}"
332513,76,1300631,Beruri,AM,BRY,584172,beruri,BR-AM-Beruri,97,"{""postalCode_ranges"": ""[69430-000 69434-999]""}"
332464,76,1300680,Boa Vista do Ramos,AM,BVK,940548,boa.vista.ramos,BR-AM-BoaVistaRamos,92,"{""postalCode_ranges"": ""[69195-000 69199-999]""}"
332492,76,1300706,Boca do Acre,AM,BDE,1793334,boca.acre,BR-AM-BocaAcre,97,"{""postalCode_ranges"": ""[69850-000 69859-999]""}"
332495,76,1300805,Borba,AM,BBA,2089660,borba,BR-AM-Borba,92,"{""postalCode_ranges"": ""[69200-000 69229-999]""}"
332501,76,1300839,Caapiranga,AM,CGW,945469,caapiranga,BR-AM-Caapiranga,92,"{""postalCode_ranges"": ""[69425-000 69429-999]""}"
332480,76,1300904,Canutama,AM,CTM,1807050,canutama,BR-AM-Canutama,97,"{""postalCode_ranges"": ""[69820-000 69829-999]""}"
332496,76,1301001,Carauari,AM,CUY,1794236,carauari,BR-AM-Carauari,97,"{""postalCode_ranges"": ""[69500-000 69509-999]""}"
332515,76,1301100,Careiro,AM,CXY,1751325,careiro,BR-AM-Careiro,92,"{""postalCode_ranges"": ""[69250-000 69254-999]""}"
332462,76,1301159,Careiro da Várzea,AM,CVZ,1807045,careiro.varzea,BR-AM-CareiroVarzea,92,"{""postalCode_ranges"": ""[69255-000 69259-999]""}"
332521,76,1301209,Coari,AM,CRI,645204,coari,BR-AM-Coari,97,"{""postalCode_ranges"": ""[69460-000 69469-999]""}"
332491,76,1301308,Codajás,AM,CJS,1762074,codajas,BR-AM-Codajas,97,"{""postalCode_ranges"": ""[69450-000 69459-999]""}"
332511,76,1301407,Eirunepé,AM,EIE,1646910,eirunepe,BR-AM-Eirunepe,97,"{""postalCode_ranges"": ""[69880-000 69889-999]""}"
332488,76,1301506,Envira,AM,EVI,1750090,envira,BR-AM-Envira,97,"{""postalCode_ranges"": ""[69870-000 69879-999]""}"
332510,76,1301605,Fonte Boa,AM,FTB,1793768,fonte.boa,BR-AM-FonteBoa,97,"{""postalCode_ranges"": ""[69670-000 69679-999]""}"
332508,76,1301654,Guajará,AM,,1808440,guajara,BR-AM-Guajara,97,"{""postalCode_ranges"": ""[69895-000 69899-999]""}"
332523,76,1301704,Humaitá,AM,HUT,1025760,humaita,BR-AM-Humaita,97,"{""postalCode_ranges"": ""[69800-000 69819-999]""}"
332520,76,1301803,Ipixuna,AM,IXN,1794374,ipixuna,BR-AM-Ipixuna,97,"{""postalCode_ranges"": ""[69890-000 69894-999]""}"
332514,76,1301852,Iranduba,AM,IRD,1761947,iranduba,BR-AM-Iranduba,92,"{""postalCode_ranges"": ""[69415-000 69424-999]""}"
332524,76,1301902,Itacoatiara,AM,IOT,1750426,itacoatiara,BR-AM-Itacoatiara,92,"{""postalCode_ranges"": ""[69100-001 69113-999]""}"
332519,76,1301951,Itamarati,AM,IKT,1102558,itamarati,BR-AM-Itamarati,97,"{""postalCode_ranges"": ""[69510-000 69519-999]""}"
332516,76,1302009,Itapiranga,AM,IXT,1808448,itapiranga,BR-AM-Itapiranga,92,"{""postalCode_ranges"": ""[69120-000 69129-999]""}"
332494,76,1302108,Japurá,AM,JPU,1757955,japura,BR-AM-Japura,97,"{""postalCode_ranges"": ""[69495-000 69499-999]""}"
332490,76,1302207,Juruá,AM,JRA,1008285,jurua,BR-AM-Jurua,97,"{""postalCode_ranges"": ""[69520-000 69529-999]""}"
332506,76,1302306,Jutaí,AM,JTY,684641,jutai,BR-AM-Jutai,97,"{""postalCode_ranges"": ""[69660-000 69669-999]""}"
332504,76,1302405,Lábrea,AM,LEA,386631,labrea,BR-AM-Labrea,97,"{""postalCode_ranges"": ""[69830-000 69849-999]""}"
332469,76,1302504,Manacapuru,AM,MPU,983526,manacapuru,BR-AM-Manacapuru,92,"{""postalCode_ranges"": ""[69400-001 69414-999]""}"
332467,76,1302553,Manaquiri,AM,MQR,1807976,manaquiri,BR-AM-Manaquiri,92,"{""postalCode_ranges"": ""[69435-000 69439-999]""}"
332493,76,1302603,Manaus,AM,MNS,40236,manaus,BR-AM-Manaus,92,"{""postalCode_ranges"": ""[69000-001 69099-999]""}"
332463,76,1302702,Manicoré,AM,MIC,43490,manicore,BR-AM-Manicore,97,"{""postalCode_ranges"": ""[69280-000 69299-999]""}"
