osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
331477,76,1600105,Amapá,AP,AAP,586263,amapa,BR-AP-Amapa,96,"{""area_sr"": 0.75067, ""area_km2"": 9236, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 9265}, ""side_estim_km"": 96.1, ""side_estim_deg"": 0.8664, ""elongation_factor"": 2.83, ""postalCode_ranges"": ""[68950-000 68959-999]""}"
331472,76,1600204,Calçoene,AP,COK,1754431,calcoene,BR-AP-Calcoene,96,"{""area_sr"": 1.16078, ""area_km2"": 14275, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11493}, ""side_estim_km"": 119.5, ""side_estim_deg"": 1.0774, ""elongation_factor"": 3.03, ""postalCode_ranges"": ""[68960-000 68972-999]""}"
331466,76,1600212,Cutias,AP,,1754422,cutias,BR-AP-Cutias,96,"{""area_sr"": 0.17379, ""area_km2"": 2139, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6217}, ""side_estim_km"": 46.2, ""side_estim_deg"": 0.4169, ""elongation_factor"": 2.69, ""postalCode_ranges"": ""[68973-000 68975-999]""}"
331479,76,1600238,"Ferreira Gomes",AP,FEG,1647054,ferreira.gomes,BR-AP-FerreiraGomes,96,"{""area_sr"": 0.4097, ""area_km2"": 5042, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8151}, ""side_estim_km"": 71, ""side_estim_deg"": 0.6401, ""elongation_factor"": 2.82, ""postalCode_ranges"": ""[68915-000 68917-999]""}"
331468,76,1600253,Itaubal,AP,,368933,itaubal,BR-AP-Itaubal,96,"{""area_sr"": 0.14144, ""area_km2"": 1741, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5730}, ""side_estim_km"": 41.7, ""side_estim_deg"": 0.3761, ""elongation_factor"": 2.37, ""postalCode_ranges"": ""[68976-000 68979-999]""}"
331469,76,1600279,"Laranjal do Jari",AP,LJI,1117969,laranjal.jari,BR-AP-LaranjalJari,96,"{""area_sr"": 2.49222, ""area_km2"": 30668, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 52302}, ""side_estim_km"": 175.1, ""side_estim_deg"": 1.5787, ""elongation_factor"": 3.58, ""postalCode_ranges"": ""[68920-000 68923-999]""}"
331473,76,1600303,Macapá,AP,MPA,180215,macapa,BR-AP-Macapa,96,"{""area_sr"": 0.5187, ""area_km2"": 6384, ""fat_deg_m"": 0.0000090, ""is_capital"": true, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 522357}, ""side_estim_km"": 79.9, ""side_estim_deg"": 0.7202, ""elongation_factor"": 4.01, ""postalCode_ranges"": ""[68900-001 68914-999]"", ""is_capital_isolevel"": 2}"
331475,76,1600402,Mazagão,AP,MZG,1800704,mazagao,BR-AP-Mazagao,96,"{""area_sr"": 1.06514, ""area_km2"": 13111, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22468}, ""side_estim_km"": 114.5, ""side_estim_deg"": 1.0321, ""elongation_factor"": 2.32, ""postalCode_ranges"": ""[68940-000 68944-999]""}"
331471,76,1600501,Oiapoque,AP,OPQ,906717,oiapoque,BR-AP-Oiapoque,96,"{""area_sr"": 1.84529, ""area_km2"": 22680, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 28534}, ""side_estim_km"": 150.6, ""side_estim_deg"": 1.3584, ""elongation_factor"": 2.47, ""postalCode_ranges"": ""[68980-000 68989-999]""}"
331465,76,1600154,"Pedra Branca do Amapari",AP,,1772647,pedra.branca.amapari,BR-AP-PedraBrancaAmapari,96,"{""area_sr"": 0.77143, ""area_km2"": 9494, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 17625}, ""side_estim_km"": 97.4, ""side_estim_deg"": 0.8783, ""elongation_factor"": 2.76, ""postalCode_ranges"": ""[68945-000 68947-999]""}"
