osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
362190,76,2900207,Abaré,BA,ABE,1647789,abare,BR-BA-Abare,75,"{""area_sr"": 0.1204, ""area_km2"": 1465, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 38.3, ""side_estim_deg"": 0.347, ""elongation_factor"": 1.64, ""postalCode_ranges"": ""[48680-000 48699-999]""}"
362174,76,2900108,Abaíra,BA,ABR,1645077,abaira,BR-BA-Abaira,77,"{""area_sr"": 0.04466, ""area_km2"": 535, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.2113, ""elongation_factor"": 2.39, ""postalCode_ranges"": ""[46690-000 46699-999]""}"
362207,76,2900306,Acajutiba,BA,AJB,1761962,acajutiba,BR-BA-Acajutiba,75,"{""area_sr"": 0.01492, ""area_km2"": 180, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.4, ""side_estim_deg"": 0.1222, ""elongation_factor"": 1.37, ""postalCode_ranges"": ""[48360-000 48369-999]""}"
362946,76,2900355,Adustina,BA,ASN,1762152,adustina,BR-BA-Adustina,75,"{""area_sr"": 0.0521, ""area_km2"": 631, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2283, ""elongation_factor"": 1.46, ""postalCode_ranges"": ""[48435-000 48439-999]""}"
362313,76,2900603,Aiquara,BA,AIQ,560381,aiquara,BR-BA-Aiquara,73,"{""area_sr"": 0.01345, ""area_km2"": 161, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 12.7, ""side_estim_deg"": 0.116, ""elongation_factor"": 1.78, ""postalCode_ranges"": ""[45220-000 45224-999]""}"
362337,76,2900702,Alagoinhas,BA,,22050101,alagoinhas,BR-BA-Alagoinhas,75,"{""area_sr"": 0.06198, ""area_km2"": 746, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 27.3, ""side_estim_deg"": 0.249, ""elongation_factor"": 1.68, ""postalCode_ranges"": ""[48000-001 48107-999]""}"
362361,76,2900801,Alcobaça,BA,ALC,22063205,alcobaca,BR-BA-Alcobaca,73,"{""area_sr"": 0.12866, ""area_km2"": 1512, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 38.9, ""side_estim_deg"": 0.3587, ""elongation_factor"": 1.38, ""postalCode_ranges"": ""[45910-000 45919-999]""}"
362393,76,2900900,Almadina,BA,ALM,1762121,almadina,BR-BA-Almadina,73,"{""area_sr"": 0.02107, ""area_km2"": 251, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.8, ""side_estim_deg"": 0.1451, ""elongation_factor"": 1.19, ""postalCode_ranges"": ""[45640-000 45640-999]""}"
362437,76,2901007,Amargosa,BA,ARA,1648060,amargosa,BR-BA-Amargosa,75,"{""area_sr"": 0.03647, ""area_km2"": 438, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 20.9, ""side_estim_deg"": 0.191, ""elongation_factor"": 2.27, ""postalCode_ranges"": ""[45300-000 45304-999]""}"
362468,76,2901106,"Amélia Rodrigues",BA,ARG,654725,amelia.rodrigues,BR-BA-AmeliaRodrigues,75,"{""area_sr"": 0.0145, ""area_km2"": 174, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.2, ""side_estim_deg"": 0.1204, ""elongation_factor"": 1.62, ""postalCode_ranges"": ""[44230-000 44244-999]""}"
362503,76,2901155,"América Dourada",BA,AED,1762100,america.dourada,BR-BA-AmericaDourada,74,"{""area_sr"": 0.06877, ""area_km2"": 830, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2622, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[44910-000 44914-999]""}"
362512,76,2901205,Anagé,BA,AAE,1772546,anage,BR-BA-Anage,77,"{""area_sr"": 0.12458, ""area_km2"": 1485, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 38.5, ""side_estim_deg"": 0.353, ""elongation_factor"": 2.13, ""postalCode_ranges"": ""[45180-000 45189-999]""}"
362173,76,2901304,Andaraí,BA,ANI,490022,andarai,BR-BA-Andarai,75,"{""area_sr"": 0.15435, ""area_km2"": 1854, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 43.1, ""side_estim_deg"": 0.3929, ""elongation_factor"": 2.71, ""postalCode_ranges"": ""[46830-000 46834-999]""}"
362217,76,2901353,Andorinha,BA,ADK,1796352,andorinha,BR-BA-Andorinha,74,"{""area_sr"": 0.10545, ""area_km2"": 1278, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 35.7, ""side_estim_deg"": 0.3247, ""elongation_factor"": 2.03, ""postalCode_ranges"": ""[48990-000 48999-999]""}"
362264,76,2901403,Angical,BA,ANL,1762342,angical,BR-BA-Angical,77,"{""area_sr"": 0.12749, ""area_km2"": 1536, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 39.2, ""side_estim_deg"": 0.3571, ""elongation_factor"": 1.93, ""postalCode_ranges"": ""[47960-000 47969-999]""}"
362287,76,2901502,Anguera,BA,AEX,1761950,anguera,BR-BA-Anguera,75,"{""area_sr"": 0.01431, ""area_km2"": 172, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.1, ""side_estim_deg"": 0.1196, ""elongation_factor"": 1.82, ""postalCode_ranges"": ""[44670-000 44679-999]""}"
362239,76,2901601,Antas,BA,ANX,22063195,antas,BR-BA-Antas,75,"{""area_sr"": 0.02672, ""area_km2"": 324, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 18, ""side_estim_deg"": 0.1635, ""elongation_factor"": 1.98, ""postalCode_ranges"": ""[48420-000 48429-999]""}"
362346,76,2901700,"Antônio Cardoso",BA,ATC,1772510,antonio.cardoso,BR-BA-AntonioCardoso,75,"{""area_sr"": 0.02424, ""area_km2"": 292, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1557, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[44180-000 44189-999]""}"
362299,76,2901809,"Antônio Gonçalves",BA,AVS,1772563,antonio.goncalves,BR-BA-AntonioGoncalves,74,"{""area_sr"": 0.02578, ""area_km2"": 312, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1606, ""elongation_factor"": 2.54, ""postalCode_ranges"": ""[44780-000 44789-999]""}"
362394,76,2901908,Aporá,BA,APR,1762391,apora,BR-BA-Apora,75,"{""area_sr"": 0.04683, ""area_km2"": 565, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 23.8, ""side_estim_deg"": 0.2164, ""elongation_factor"": 1.75, ""postalCode_ranges"": ""[48350-000 48359-999]""}"
362353,76,2901957,Apuarema,BA,APE,1772630,apuarema,BR-BA-Apuarema,73,"{""area_sr"": 0.0129, ""area_km2"": 154, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 12.4, ""side_estim_deg"": 0.1136, ""elongation_factor"": 2.51, ""postalCode_ranges"": ""[45355-000 45359-999]""}"
362498,76,2902005,Aracatu,BA,AAW,1762365,aracatu,BR-BA-Aracatu,77,"{""area_sr"": 0.12628, ""area_km2"": 1507, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 38.8, ""side_estim_deg"": 0.3554, ""elongation_factor"": 2.41, ""postalCode_ranges"": ""[46130-000 46139-999]""}"
362543,76,2902104,Araci,BA,AAC,22063188,araci,BR-BA-Araci,75,"{""area_sr"": 0.12878, ""area_km2"": 1556, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 39.4, ""side_estim_deg"": 0.3589, ""elongation_factor"": 1.69, ""postalCode_ranges"": ""[48760-000 48769-999]""}"
362533,76,2902203,Aramari,BA,AAM,1762004,aramari,BR-BA-Aramari,75,"{""area_sr"": 0.02782, ""area_km2"": 335, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 18.3, ""side_estim_deg"": 0.1668, ""elongation_factor"": 1.46, ""postalCode_ranges"": ""[48130-000 48139-999]""}"
362189,76,2902252,Arataca,BA,ATW,1648079,arataca,BR-BA-Arataca,73,"{""area_sr"": 0.03121, ""area_km2"": 371, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1767, ""elongation_factor"": 2.51, ""postalCode_ranges"": ""[45695-000 45699-999]""}"
362231,76,2902302,Aratuípe,BA,AUP,1762335,aratuipe,BR-BA-Aratuipe,75,"{""area_sr"": 0.01478, ""area_km2"": 177, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1216, ""elongation_factor"": 2.46, ""postalCode_ranges"": ""[44490-000 44499-999]""}"
362487,76,2902054,Araçás,BA,ACK,1762140,aracas,BR-BA-Aracas,75,"{""area_sr"": 0.04062, ""area_km2"": 489, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 22.1, ""side_estim_deg"": 0.2015, ""elongation_factor"": 1.97, ""postalCode_ranges"": ""[48108-000 48109-999]""}"
