osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
302599,76,2300101,Abaiara,CE,ABY,1796441,abaiara,BR-CE-Abaiara,88,"{""area_sr"": 0.01481, ""area_km2"": 181, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.4, ""side_estim_deg"": 0.1217, ""elongation_factor"": 1.29, ""postalCode_ranges"": ""[63240-000 63249-999]""}"
302505,76,2300150,Acarape,CE,ACP,1808379,acarape,BR-CE-Acarape,85,"{""area_sr"": 0.01059, ""area_km2"": 130, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.4, ""side_estim_deg"": 0.1029, ""elongation_factor"": 1.71, ""postalCode_ranges"": ""[62785-000 62789-999]""}"
302500,76,2300200,Acaraú,CE,AAU,1796706,acarau,BR-CE-Acarau,88,"{""area_sr"": 0.06839, ""area_km2"": 841, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29, ""side_estim_deg"": 0.2615, ""elongation_factor"": 2.97, ""postalCode_ranges"": ""[62580-000 62589-999]""}"
302627,76,2300309,Acopiara,CE,ACR,544694,acopiara,BR-CE-Acopiara,88,"{""area_sr"": 0.18416, ""area_km2"": 2254, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 47.5, ""side_estim_deg"": 0.4291, ""elongation_factor"": 2.36, ""postalCode_ranges"": ""[63560-000 63569-999]""}"
302486,76,2300408,Aiuaba,CE,AIB,641440,aiuaba,BR-CE-Aiuaba,88,"{""area_sr"": 0.1994, ""area_km2"": 2439, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 49.4, ""side_estim_deg"": 0.4465, ""elongation_factor"": 1.93, ""postalCode_ranges"": ""[63575-000 63579-999]""}"
302576,76,2300507,Alcântaras,CE,ACX,2027670,alcantaras,BR-CE-Alcantaras,88,"{""area_sr"": 0.01105, ""area_km2"": 136, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.7, ""side_estim_deg"": 0.1051, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[62120-000 62129-999]""}"
302606,76,2300606,Altaneira,CE,,2021103,altaneira,BR-CE-Altaneira,88,"{""area_sr"": 0.00595, ""area_km2"": 73, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 8.5, ""side_estim_deg"": 0.0771, ""elongation_factor"": 2.56, ""postalCode_ranges"": ""[63195-000 63199-999]""}"
302609,76,2300705,"Alto Santo",CE,ATO,2021254,alto.santo,BR-CE-AltoSanto,88,"{""area_sr"": 0.09363, ""area_km2"": 1147, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 33.9, ""side_estim_deg"": 0.306, ""elongation_factor"": 1.53, ""postalCode_ranges"": ""[62970-000 62979-999]""}"
302613,76,2300754,Amontada,CE,AOW,947378,amontada,BR-CE-Amontada,88,"{""area_sr"": 0.09581, ""area_km2"": 1177, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.3, ""side_estim_deg"": 0.3095, ""elongation_factor"": 1.95, ""postalCode_ranges"": ""[62540-000 62549-999]""}"
302573,76,2300804,"Antonina do Norte",CE,ANE,2021007,antonina.norte,BR-CE-AntoninaNorte,88,"{""area_sr"": 0.02128, ""area_km2"": 260, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.1, ""side_estim_deg"": 0.1459, ""elongation_factor"": 2.63, ""postalCode_ranges"": ""[63570-000 63574-999]""}"
