osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1831575,76,3200102,"Afonso Cláudio",ES,AFC,1793672,afonso.claudio,BR-ES-AfonsoClaudio,27,"{""area_sr"": 0.08213, ""area_km2"": 951, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.8, ""side_estim_deg"": 0.2866, ""elongation_factor"": 2.12, ""postalCode_ranges"": ""[29600-000 29614-999]""}"
1829622,76,3200201,Alegre,ES,ALR,1807909,alegre,BR-ES-Alegre,28,"{""area_sr"": 0.06562, ""area_km2"": 757, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.5, ""side_estim_deg"": 0.2562, ""elongation_factor"": 2.13, ""postalCode_ranges"": ""[29500-000 29539-999]""}"
1825376,76,3200300,"Alfredo Chaves",ES,AFH,596538,alfredo.chaves,BR-ES-AlfredoChaves,27,"{""area_sr"": 0.05334, ""area_km2"": 616, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.231, ""elongation_factor"": 2.45, ""postalCode_ranges"": ""[29240-000 29254-999]""}"
1832493,76,3200359,"Alto Rio Novo",ES,ARV,973430,alto.rio.novo,BR-ES-AltoRioNovo,27,"{""area_sr"": 0.01953, ""area_km2"": 228, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 15.1, ""side_estim_deg"": 0.1398, ""elongation_factor"": 2.22, ""postalCode_ranges"": ""[29760-000 29769-999]""}"
1823480,76,3200409,Anchieta,ES,AHE,2019024,anchieta,BR-ES-Anchieta,28,"{""area_sr"": 0.03527, ""area_km2"": 407, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1878, ""elongation_factor"": 2.44, ""postalCode_ranges"": ""[29230-000 29239-999]""}"
1828254,76,3200508,Apiacá,ES,AAA,2021210,apiaca,BR-ES-Apiaca,28,"{""area_sr"": 0.01686, ""area_km2"": 194, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 13.9, ""side_estim_deg"": 0.1298, ""elongation_factor"": 2.4, ""postalCode_ranges"": ""[29450-000 29459-999]""}"
1843539,76,3200607,Aracruz,ES,ACZ,1794219,aracruz,BR-ES-Aracruz,27,"{""area_sr"": 0.12249, ""area_km2"": 1421, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 37.7, ""side_estim_deg"": 0.35, ""elongation_factor"": 1.53, ""postalCode_ranges"": ""[29190-001 29199-999]""}"
1828251,76,3200706,"Atílio Vivacqua",ES,AVQ,648890,atilio.vivacqua,BR-ES-AtilioVivacqua,28,"{""area_sr"": 0.01941, ""area_km2"": 223, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14.9, ""side_estim_deg"": 0.1393, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[29490-000 29499-999]""}"
1831586,76,3200805,"Baixo Guandu",ES,BXG,804041,baixo.guandu,BR-ES-BaixoGuandu,27,"{""area_sr"": 0.07827, ""area_km2"": 909, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.2, ""side_estim_deg"": 0.2798, ""elongation_factor"": 3.22, ""postalCode_ranges"": ""[29730-000 29744-999]""}"
1832495,76,3200904,"Barra de São Francisco",ES,BDI,1794183,barra.sao.francisco,BR-ES-BarraSaoFrancisco,27,"{""area_sr"": 0.08065, ""area_km2"": 942, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.7, ""side_estim_deg"": 0.284, ""elongation_factor"": 2.95, ""postalCode_ranges"": ""[29800-000 29819-999]""}"
1837757,76,3201001,"Boa Esperança",ES,BAP,2089691,boa.esperanca,BR-ES-BoaEsperanca,27,"{""area_sr"": 0.0367, ""area_km2"": 429, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.7, ""side_estim_deg"": 0.1916, ""elongation_factor"": 2.43, ""postalCode_ranges"": ""[29845-000 29849-999]""}"
