osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
334407,76,5200050,"Abadia de Goiás",GO,,304652,abadia.goias,BR-GO-AbadiaGoias,62,"{""area_sr"": 0.01276, ""area_km2"": 151, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.3, ""side_estim_deg"": 0.113, ""elongation_factor"": 1.79, ""postalCode_ranges"": ""[75345-000 75349-999]""}"
334468,76,5200100,Abadiânia,GO,ABI,304716,abadiania,BR-GO-Abadiania,62,"{""area_sr"": 0.08816, ""area_km2"": 1043, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 32.3, ""side_estim_deg"": 0.2969, ""elongation_factor"": 2.33, ""postalCode_ranges"": ""[72940-000 72959-999]""}"
334563,76,5200134,Acreúna,GO,AEU,342682,acreuna,BR-GO-Acreuna,64,"{""area_sr"": 0.13326, ""area_km2"": 1567, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 39.6, ""side_estim_deg"": 0.365, ""elongation_factor"": 2.24, ""postalCode_ranges"": ""[75960-000 75969-999]""}"
334594,76,5200159,Adelândia,GO,ADN,986273,adelandia,BR-GO-Adelandia,64,"{""area_sr"": 0.00981, ""area_km2"": 116, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.099, ""elongation_factor"": 2.51, ""postalCode_ranges"": ""[76155-000 76159-999]""}"
334553,76,5200308,Alexânia,GO,ALX,955680,alexania,BR-GO-Alexania,62,"{""area_sr"": 0.07133, ""area_km2"": 845, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 29.1, ""side_estim_deg"": 0.2671, ""elongation_factor"": 1.94, ""postalCode_ranges"": ""[72930-000 72939-999]""}"
334593,76,5200506,Aloândia,GO,ADI,988880,aloandia,BR-GO-Aloandia,64,"{""area_sr"": 0.01033, ""area_km2"": 121, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11, ""side_estim_deg"": 0.1016, ""elongation_factor"": 1.55, ""postalCode_ranges"": ""[75615-000 75619-999]""}"
334600,76,5200555,"Alto Horizonte",GO,,443489,alto.horizonte,BR-GO-AltoHorizonte,62,"{""area_sr"": 0.04216, ""area_km2"": 504, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 22.4, ""side_estim_deg"": 0.2053, ""elongation_factor"": 1.87, ""postalCode_ranges"": ""[76560-000 76579-999]""}"
334545,76,5200605,"Alto Paraíso de Goiás",GO,APG,22060523,alto.paraiso.goias,BR-GO-AltoParaisoGoias,62,"{""area_sr"": 0.21735, ""area_km2"": 2596, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 51, ""side_estim_deg"": 0.4662, ""elongation_factor"": 2.44, ""postalCode_ranges"": ""[73770-000 73779-999]""}"
334429,76,5200803,"Alvorada do Norte",GO,AVN,1795219,alvorada.norte,BR-GO-AlvoradaNorte,62,"{""area_sr"": 0.1061, ""area_km2"": 1265, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 35.6, ""side_estim_deg"": 0.3257, ""elongation_factor"": 3.01, ""postalCode_ranges"": ""[73950-000 73969-999]""}"
334561,76,5200829,Amaralina,GO,,1793274,amaralina,BR-GO-Amaralina,62,"{""area_sr"": 0.11232, ""area_km2"": 1343, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 36.7, ""side_estim_deg"": 0.3351, ""elongation_factor"": 3.25, ""postalCode_ranges"": ""[76493-000 76494-999]""}"
334534,76,5200852,"Americano do Brasil",GO,ADB,467478,americano.brasil,BR-GO-AmericanoBrasil,64,"{""area_sr"": 0.01135, ""area_km2"": 134, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 11.6, ""side_estim_deg"": 0.1065, ""elongation_factor"": 2.87, ""postalCode_ranges"": ""[76165-000 76169-999]""}"
334609,76,5200902,Amorinópolis,GO,AMI,474121,amorinopolis,BR-GO-Amorinopolis,64,"{""area_sr"": 0.03454, ""area_km2"": 408, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1859, ""elongation_factor"": 2.19, ""postalCode_ranges"": ""[76140-000 76144-999]""}"
334458,76,5201207,Anhanguera,GO,AHG,545263,anhanguera,BR-GO-Anhanguera,64,"{""area_sr"": 0.00478, ""area_km2"": 56, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 7.5, ""side_estim_deg"": 0.0691, ""elongation_factor"": 1.33, ""postalCode_ranges"": ""[75770-000 75779-999]""}"
334389,76,5201306,Anicuns,GO,ANU,22067260,anicuns,BR-GO-Anicuns,64,"{""area_sr"": 0.08302, ""area_km2"": 981, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2881, ""elongation_factor"": 2.09, ""postalCode_ranges"": ""[76170-000 76179-999]""}"
334463,76,5201108,Anápolis,GO,ANS,223422,anapolis,BR-GO-Anapolis,62,"{""area_sr"": 0.07918, ""area_km2"": 937, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 30.6, ""side_estim_deg"": 0.2814, ""elongation_factor"": 2.62, ""postalCode_ranges"": ""[75000-001 75159-999]""}"
334413,76,5201405,"Aparecida de Goiânia",GO,ACG,459711,aparecida.goiania,BR-GO-AparecidaGoiania,62,"{""area_sr"": 0.0245, ""area_km2"": 289, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17, ""side_estim_deg"": 0.1565, ""elongation_factor"": 2.13, ""postalCode_ranges"": ""[74900-001 74999-999]"", ""sys_housenumbering"": ""ago-block""}"
334601,76,5201454,"Aparecida do Rio Doce",GO,,1795248,aparecida.rio.doce,BR-GO-AparecidaRioDoce,64,"{""area_sr"": 0.05132, ""area_km2"": 601, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.2265, ""elongation_factor"": 1.98, ""postalCode_ranges"": ""[75827-000 75827-999]""}"
