osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
332900,76,2100105,"Afonso Cunha",MA,ASH,532160,afonso.cunha,BR-MA-AfonsoCunha,98,"{""area_sr"": 0.03032, ""area_km2"": 372, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1741, ""elongation_factor"": 1.52, ""postalCode_ranges"": ""[65505-000 65509-999]""}"
332985,76,2100204,Alcântara,MA,ALN,939522,alcantara,BR-MA-Alcantara,98,"{""area_sr"": 0.12114, ""area_km2"": 1490, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 38.6, ""side_estim_deg"": 0.348, ""elongation_factor"": 1.72, ""postalCode_ranges"": ""[65250-000 65254-999]""}"
332823,76,2100303,"Aldeias Altas",MA,ASA,2013348,aldeias.altas,BR-MA-AldeiasAltas,99,"{""area_sr"": 0.15844, ""area_km2"": 1944, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 44.1, ""side_estim_deg"": 0.398, ""elongation_factor"": 1.72, ""postalCode_ranges"": ""[65610-000 65614-999]""}"
332830,76,2100402,"Altamira do Maranhão",MA,ALO,2013259,altamira.maranhao,BR-MA-AltamiraMaranhao,98,"{""area_sr"": 0.059, ""area_km2"": 724, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 26.9, ""side_estim_deg"": 0.2429, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[65310-000 65314-999]""}"
332864,76,2100436,"Alto Alegre do Maranhão",MA,,373783,alto.alegre.maranhao,BR-MA-AltoAlegreMaranhao,99,"{""area_sr"": 0.03118, ""area_km2"": 383, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.6, ""side_estim_deg"": 0.1766, ""elongation_factor"": 1.16, ""postalCode_ranges"": ""[65413-000 65414-999]""}"
332962,76,2100477,"Alto Alegre do Pindaré",MA,,2028638,alto.alegre.pindare,BR-MA-AltoAlegrePindare,98,"{""area_sr"": 0.15727, ""area_km2"": 1932, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 43.9, ""side_estim_deg"": 0.3966, ""elongation_factor"": 2.45, ""postalCode_ranges"": ""[65398-000 65399-999]""}"
332819,76,2100501,"Alto Parnaíba",MA,ATP,1812998,alto.parnaiba,BR-MA-AltoParnaiba,99,"{""area_sr"": 0.91559, ""area_km2"": 11119, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 105.4, ""side_estim_deg"": 0.9569, ""elongation_factor"": 1.66, ""postalCode_ranges"": ""[65810-000 65819-999]""}"
332774,76,2100550,"Amapá do Maranhão",MA,,2013296,amapa.maranhao,BR-MA-AmapaMaranhao,98,"{""area_sr"": 0.04082, ""area_km2"": 502, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22.4, ""side_estim_deg"": 0.2021, ""elongation_factor"": 1.28, ""postalCode_ranges"": ""[65293-000 65293-999]""}"
332886,76,2100600,"Amarante do Maranhão",MA,ATH,947834,amarante.maranhao,BR-MA-AmaranteMaranhao,99,"{""area_sr"": 0.6067, ""area_km2"": 7437, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 86.2, ""side_estim_deg"": 0.7789, ""elongation_factor"": 1.68, ""postalCode_ranges"": ""[65923-000 65923-999]""}"
332973,76,2100709,Anajatuba,MA,ANJ,2013314,anajatuba,BR-MA-Anajatuba,98,"{""area_sr"": 0.08138, ""area_km2"": 1000, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.6, ""side_estim_deg"": 0.2853, ""elongation_factor"": 1.35, ""postalCode_ranges"": ""[65490-000 65494-999]""}"
