osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
314663,76,3100104,Abadia dos Dourados,MG,ABD,582223,abadia.dourados,BR-MG-AbadiaDourados,34,"{""postalCode_ranges"": ""[38540-000 38549-999]""}"
314752,76,3100203,Abaeté,MG,AET,1615444,abaete,BR-MG-Abaete,37,"{""postalCode_ranges"": ""[35620-000 35620-999]""}"
314808,76,3100302,Abre Campo,MG,,1749816,abre.campo,BR-MG-AbreCampo,31,"{""postalCode_ranges"": ""[35365-000 35366-999]""}"
314830,76,3100401,Acaiaca,MG,ACC,1749743,acaiaca,BR-MG-Acaiaca,31,"{""postalCode_ranges"": ""[35438-000 35438-999]""}"
314852,76,3100500,Açucena,MG,ACN,1791887,acucena,BR-MG-Acucena,33,"{""postalCode_ranges"": ""[35147-000 35147-999]""}"
314970,76,3100609,Água Boa,MG,AUB,2059260,agua.boa,BR-MG-AguaBoa,33,"{""postalCode_ranges"": ""[39790-000 39794-999]""}"
314996,76,3100708,Água Comprida,MG,ACO,1756079,agua.comprida,BR-MG-AguaComprida,34,"{""postalCode_ranges"": ""[38110-000 38119-999]""}"
314972,76,3100807,Aguanil,MG,,691275,aguanil,BR-MG-Aguanil,35,"{""postalCode_ranges"": ""[37273-000 37274-999]""}"
315023,76,3100906,Águas Formosas,MG,AGF,1756605,aguas.formosas,BR-MG-AguasFormosas,33,"{""postalCode_ranges"": ""[39880-000 39884-999]""}"
315192,76,3101003,Águas Vermelhas,MG,AUV,1756246,aguas.vermelhas,BR-MG-AguasVermelhas,33,"{""postalCode_ranges"": ""[39990-000 39994-999]""}"
315202,76,3101102,Aimorés,MG,AOR,1650790,aimores,BR-MG-Aimores,33,"{""postalCode_ranges"": ""[35200-000 35219-999]""}"
315278,76,3101201,Aiuruoca,MG,AUO,1749739,aiuruoca,BR-MG-Aiuruoca,35,"{""postalCode_ranges"": ""[37450-000 37451-999]""}"
315267,76,3101300,Alagoa,MG,ALK,678420,alagoa,BR-MG-Alagoa,35,"{""postalCode_ranges"": ""[37458-000 37459-999]""}"
315351,76,3101409,Albertina,MG,ALB,986243,albertina,BR-MG-Albertina,35,"{""postalCode_ranges"": ""[37596-000 37599-999]""}"
315404,76,3101508,Além Paraíba,MG,API,1756032,alem.paraiba,BR-MG-AlemParaiba,32,"{""postalCode_ranges"": ""[36660-000 36669-999]""}"
315442,76,3101607,Alfenas,MG,AFN,1755151,alfenas,BR-MG-Alfenas,35,"{""postalCode_ranges"": ""[37130-001 37139-999]""}"
315418,76,3101631,Alfredo Vasconcelos,MG,,614671,alfredo.vasconcelos,BR-MG-AlfredoVasconcelos,32,"{""postalCode_ranges"": ""[36272-000 36274-999]""}"
314588,76,3101706,Almenara,MG,AMN,979377,almenara,BR-MG-Almenara,33,"{""postalCode_ranges"": ""[39900-000 39911-999]""}"
314616,76,3101805,Alpercata,MG,ALP,1792834,alpercata,BR-MG-Alpercata,33,"{""postalCode_ranges"": ""[35138-000 35139-999]""}"
314787,76,3101904,Alpinópolis,MG,ALS,1757102,alpinopolis,BR-MG-Alpinopolis,35,"{""postalCode_ranges"": ""[37940-000 37944-999]""}"
314716,76,3102001,Alterosa,MG,ALA,1756931,alterosa,BR-MG-Alterosa,35,"{""postalCode_ranges"": ""[37145-000 37147-999]""}"
314737,76,3102050,Alto Caparaó,MG,,118945,alto.caparao,BR-MG-AltoCaparao,32,"{""postalCode_ranges"": ""[36979-000 36979-999]""}"
314891,76,3102100,Alto Rio Doce,MG,ADC,1757130,alto.rio.doce,BR-MG-AltoRioDoce,32,"{""postalCode_ranges"": ""[36260-000 36264-999]""}"
-763102209,76,3102209,Alvarenga,MG,ALE,2007777,alvarenga,BR-MG-Alvarenga,33,"{""postalCode_ranges"": ""[35249-000 35249-999]""}"
314946,76,3102308,Alvinópolis,MG,ALL,370048,alvinopolis,BR-MG-Alvinopolis,31,"{""postalCode_ranges"": ""[35950-000 35959-999]""}"
314911,76,3102407,Alvorada de Minas,MG,ADM,1756297,alvorada.minas,BR-MG-AlvoradaMinas,31,"{""postalCode_ranges"": ""[39140-000 39149-999]""}"
314941,76,3102506,Amparo do Serra,MG,AME,1793156,amparo.serra,BR-MG-AmparoSerra,31,"{""postalCode_ranges"": ""[35444-000 35446-999]""}"
315087,76,3102605,Andradas,MG,ANA,1754887,andradas,BR-MG-Andradas,35,"{""postalCode_ranges"": ""[37795-000 37799-999]""}"
315077,76,3102704,Cachoeira de Pajeú,MG,CZP,676007,cachoeira.pajeu,BR-MG-CachoeiraPajeu,33,"{""postalCode_ranges"": ""[39980-000 39989-999]""}"
315199,76,3102803,Andrelândia,MG,ADL,503236,andrelandia,BR-MG-Andrelandia,35,"{""postalCode_ranges"": ""[37300-000 37304-999]""}"
315168,76,3102852,Angelândia,MG,,1756210,angelandia,BR-MG-Angelandia,33,"{""postalCode_ranges"": ""[39685-000 39687-999]""}"
-763102902,76,3102902,Antônio Carlos,MG,AOO,1805349,antonio.carlos,BR-MG-AntonioCarlos,32,"{""postalCode_ranges"": ""[36220-000 36224-999]""}"
315287,76,3103009,Antônio Dias,MG,ADS,611911,antonio.dias,BR-MG-AntonioDias,31,"{""postalCode_ranges"": ""[35177-000 35178-999]""}"
315274,76,3103108,Antônio Prado de Minas,MG,APM,1791977,antonio.prado.minas,BR-MG-AntonioPradoMinas,32,"{""postalCode_ranges"": ""[36850-000 36854-999]""}"
315256,76,3103207,Araçaí,MG,ARY,1756217,aracai,BR-MG-Aracai,31,"{""postalCode_ranges"": ""[35777-000 35779-999]""}"
315433,76,3103306,Aracitaba,MG,ACT,968231,aracitaba,BR-MG-Aracitaba,32,"{""postalCode_ranges"": ""[36255-000 36259-999]""}"
314720,76,3103405,Araçuaí,MG,AUI,1749750,aracuai,BR-MG-Aracuai,33,"{""postalCode_ranges"": ""[39600-000 39609-999]""}"
314597,76,3103504,Araguari,MG,ARI,1637522,araguari,BR-MG-Araguari,34,"{""postalCode_ranges"": ""[38440-001 38459-999]""}"
314582,76,3103603,Arantina,MG,ART,1756387,arantina,BR-MG-Arantina,32,"{""postalCode_ranges"": ""[37360-000 37369-999]""}"
314651,76,3103702,Araponga,MG,APN,1749824,araponga,BR-MG-Araponga,31,"{""postalCode_ranges"": ""[36594-000 36599-999]""}"
314674,76,3103751,Araporã,MG,,1756964,arapora,BR-MG-Arapora,34,"{""postalCode_ranges"": ""[38465-000 38469-999]""}"
314915,76,3103801,Arapuá,MG,APW,1793057,arapua,BR-MG-Arapua,34,"{""postalCode_ranges"": ""[38860-000 38869-999]""}"
314958,76,3103900,Araújos,MG,AJS,1756084,araujos,BR-MG-Araujos,37,"{""postalCode_ranges"": ""[35603-000 35603-999]""}"
314838,76,3104007,Araxá,MG,AXA,586057,araxa,BR-MG-Araxa,34,"{""postalCode_ranges"": ""[38180-001 38184-999]""}"
314850,76,3104106,Arceburgo,MG,AEG,1756612,arceburgo,BR-MG-Arceburgo,35,"{""postalCode_ranges"": ""[37820-000 37854-999]""}"
-763104205,76,3104205,Arcos,MG,ACS,1804949,arcos,BR-MG-Arcos,37,"{""postalCode_ranges"": ""[35588-000 35589-999]""}"
315185,76,3104304,Areado,MG,ADO,1756284,areado,BR-MG-Areado,35,"{""postalCode_ranges"": ""[37140-000 37141-999]""}"
315157,76,3104403,Argirita,MG,AIT,1792090,argirita,BR-MG-Argirita,32,"{""postalCode_ranges"": ""[36710-000 36719-999]""}"
315247,76,3104452,Aricanduva,MG,,1793027,aricanduva,BR-MG-Aricanduva,38,"{""postalCode_ranges"": ""[39678-000 39679-999]""}"
315064,76,3104502,Arinos,MG,AYN,617058,arinos,BR-MG-Arinos,38,"{""postalCode_ranges"": ""[38680-000 38689-999]""}"
315366,76,3104601,Astolfo Dutra,MG,AST,1756260,astolfo.dutra,BR-MG-AstolfoDutra,32,"{""postalCode_ranges"": ""[36780-000 36783-999]""}"
315288,76,3104700,Ataléia,MG,ATA,922716,ataleia,BR-MG-Ataleia,33,"{""postalCode_ranges"": ""[39850-000 39854-999]""}"
315311,76,3104809,Augusto de Lima,MG,,1791783,augusto.lima,BR-MG-AugustoLima,38,"{""postalCode_ranges"": ""[39219-000 39219-999]""}"
314765,76,3104908,Baependi,MG,BAD,947342,baependi,BR-MG-Baependi,35,"{""postalCode_ranges"": ""[37443-000 37444-999]""}"
314751,76,3105004,Baldim,MG,BLD,1756922,baldim,BR-MG-Baldim,31,"{""postalCode_ranges"": ""[35732-000 35735-999]""}"
314592,76,3105103,Bambuí,MG,BBI,1756027,bambui,BR-MG-Bambui,37,"{""postalCode_ranges"": ""[38900-000 38909-999]""}"
314949,76,3105202,Bandeira,MG,BDR,1756019,bandeira,BR-MG-Bandeira,33,"{""postalCode_ranges"": ""[39917-000 39919-999]""}"
314978,76,3105301,Bandeira do Sul,MG,BDL,1756203,bandeira.sul,BR-MG-BandeiraSul,35,"{""postalCode_ranges"": ""[37740-000 37749-999]""}"
314917,76,3105400,Barão de Cocais,MG,BCS,770910,barao.cocais,BR-MG-BaraoCocais,31,"{""postalCode_ranges"": ""[35970-000 35983-999]""}"
314939,76,3105509,Barão de Monte Alto,MG,BEO,1791836,barao.monte.alto,BR-MG-BaraoMonteAlto,32,"{""postalCode_ranges"": ""[36870-000 36877-999]""}"
314887,76,3105608,Barbacena,MG,BCA,807311,barbacena,BR-MG-Barbacena,32,"{""postalCode_ranges"": ""[36200-001 36209-999]""}"
314822,76,3105707,Barra Longa,MG,BGA,425598,barra.longa,BR-MG-BarraLonga,31,"{""postalCode_ranges"": ""[35447-000 35449-999]""}"
314836,76,3105905,Barroso,MG,BSO,1792962,barroso,BR-MG-Barroso,32,"{""postalCode_ranges"": ""[36212-000 36212-999]""}"
315249,76,3106002,Bela Vista de Minas,MG,BVM,1793085,bela.vista.minas,BR-MG-BelaVistaMinas,31,"{""postalCode_ranges"": ""[35938-000 35939-999]""}"
315188,76,3106101,Belmiro Braga,MG,BLB,1793075,belmiro.braga,BR-MG-BelmiroBraga,32,"{""postalCode_ranges"": ""[36126-000 36129-999]""}"
368782,76,3106200,Belo Horizonte,MG,BHE,42800,belo.horizonte,BR-MG-BeloHorizonte,31,"{""postalCode_ranges"": ""[30000-001 31999-999]""}"
315103,76,3106309,Belo Oriente,MG,BOT,816123,belo.oriente,BR-MG-BeloOriente,31,"{""postalCode_ranges"": ""[35195-000 35197-999]""}"
315049,76,3106408,Belo Vale,MG,BLL,1756538,belo.vale,BR-MG-BeloVale,31,"{""postalCode_ranges"": ""[35473-000 35475-999]""}"
315007,76,3106507,Berilo,MG,BYL,1756010,berilo,BR-MG-Berilo,33,"{""postalCode_ranges"": ""[39640-000 39641-999]""}"
315413,76,3106606,Bertópolis,MG,BEI,1756857,bertopolis,BR-MG-Bertopolis,33,"{""postalCode_ranges"": ""[39875-000 39877-999]""}"
315394,76,3106655,Berizal,MG,,1779991,berizal,BR-MG-Berizal,38,"{""postalCode_ranges"": ""[39555-000 39557-999]""}"
