osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
334028,76,5000203,Água Clara,MS,ACL,1796727,agua.clara,BR-MS-AguaClara,67,"{""postalCode_ranges"": ""[79680-000 79689-999]""}"
333978,76,5000252,Alcinópolis,MS,,2012238,alcinopolis,BR-MS-Alcinopolis,67,"{""postalCode_ranges"": ""[79530-000 79539-999]""}"
333991,76,5000609,Amambai,MS,AMB,453479,amambai,BR-MS-Amambai,67,"{""postalCode_ranges"": ""[79990-000 79994-999]""}"
334013,76,5000708,Anastácio,MS,ANC,22067433,anastacio,BR-MS-Anastacio,67,"{""postalCode_ranges"": ""[79210-000 79214-999]""}"
334050,76,5000807,Anaurilândia,MS,AID,1806340,anaurilandia,BR-MS-Anaurilandia,67,"{""postalCode_ranges"": ""[79770-000 79779-999]""}"
334047,76,5000856,Angélica,MS,AEC,1793031,angelica,BR-MS-Angelica,67,"{""postalCode_ranges"": ""[79785-000 79789-999]""}"
333994,76,5000906,Antônio João,MS,AOJ,22067430,antonio.joao,BR-MS-AntonioJoao,67,"{""postalCode_ranges"": ""[79910-000 79919-999]""}"
-765001003,76,5001003,Aparecida do Taboado,MS,ATD,1797156,aparecida.taboado,BR-MS-AparecidaTaboado,67,"{""postalCode_ranges"": ""[79570-000 79579-999]""}"
334007,76,5001102,Aquidauana,MS,AUA,1792157,aquidauana,BR-MS-Aquidauana,67,"{""postalCode_ranges"": ""[79200-000 79209-999]""}"
334023,76,5001243,Aral Moreira,MS,AOE,22067428,aral.moreira,BR-MS-AralMoreira,67,"{""postalCode_ranges"": ""[79930-000 79934-999]""}"
333986,76,5001508,Bandeirantes,MS,BND,2012476,bandeirantes,BR-MS-Bandeirantes,67,"{""postalCode_ranges"": ""[79430-000 79439-999]""}"
334052,76,5001904,Bataguassu,MS,BTG,1805582,bataguassu,BR-MS-Bataguassu,67,"{""postalCode_ranges"": ""[79780-000 79784-999]""}"
334012,76,5002001,Batayporã,MS,BIP,1796657,bataypora,BR-MS-Bataypora,67,"{""postalCode_ranges"": ""[79760-000 79764-999]""}"
334011,76,5002100,Bela Vista,MS,BVT,1148023,bela.vista,BR-MS-BelaVista,67,"{""postalCode_ranges"": ""[79260-000 79269-999]""}"
