osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
333683,76,5100102,Acorizal,MT,AZL,507567,acorizal,BR-MT-Acorizal,65,"{""area_sr"": 0.07074, ""area_km2"": 841, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 29, ""side_estim_deg"": 0.266, ""elongation_factor"": 2.09, ""postalCode_ranges"": ""[78480-000 78489-999]""}"
333692,76,5100250,"Alta Floresta",MT,AFL,433574,alta.floresta,BR-MT-AltaFloresta,66,"{""area_sr"": 0.74007, ""area_km2"": 8973, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 94.7, ""side_estim_deg"": 0.8603, ""elongation_factor"": 2.12, ""postalCode_ranges"": ""[78580-000 78586-999]""}"
333623,76,5100300,"Alto Araguaia",MT,ALU,1806398,alto.araguaia,BR-MT-AltoAraguaia,66,"{""area_sr"": 0.47139, ""area_km2"": 5542, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 74.4, ""side_estim_deg"": 0.6866, ""elongation_factor"": 2.55, ""postalCode_ranges"": ""[78780-000 78784-999]""}"
333704,76,5100359,"Alto Boa Vista",MT,,612610,alto.boa.vista,BR-MT-AltoBoaVista,66,"{""area_sr"": 0.18592, ""area_km2"": 2241, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 47.3, ""side_estim_deg"": 0.4312, ""elongation_factor"": 2.66, ""postalCode_ranges"": ""[78665-000 78667-999]""}"
333724,76,5100409,"Alto Garças",MT,ALT,443458,alto.garcas,BR-MT-AltoGarcas,66,"{""area_sr"": 0.31764, ""area_km2"": 3746, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 61.2, ""side_estim_deg"": 0.5636, ""elongation_factor"": 2.12, ""postalCode_ranges"": ""[78770-000 78772-999]""}"
333632,76,5100508,"Alto Paraguai",MT,AGI,676719,alto.paraguai,BR-MT-AltoParaguai,65,"{""area_sr"": 0.15511, ""area_km2"": 1848, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 43, ""side_estim_deg"": 0.3938, ""elongation_factor"": 2.67, ""postalCode_ranges"": ""[78410-000 78414-999]""}"
333736,76,5100607,"Alto Taquari",MT,AOU,1805426,alto.taquari,BR-MT-AltoTaquari,66,"{""area_sr"": 0.12042, ""area_km2"": 1413, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 37.6, ""side_estim_deg"": 0.347, ""elongation_factor"": 2.06, ""postalCode_ranges"": ""[78785-000 78789-999]""}"
333723,76,5100805,Apiacás,MT,APC,2103560,apiacas,BR-MT-Apiacas,66,"{""area_sr"": 1.67387, ""area_km2"": 20369, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 142.7, ""side_estim_deg"": 1.2938, ""elongation_factor"": 2.28, ""postalCode_ranges"": ""[78595-000 78599-999]""}"
333628,76,5101001,Araguaiana,MT,AGX,1792161,araguaiana,BR-MT-Araguaiana,66,"{""area_sr"": 0.54009, ""area_km2"": 6423, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 80.1, ""side_estim_deg"": 0.7349, ""elongation_factor"": 2.66, ""postalCode_ranges"": ""[78685-000 78689-999]""}"
333680,76,5101209,Araguainha,MT,AUH,1806527,araguainha,BR-MT-Araguainha,66,"{""area_sr"": 0.05827, ""area_km2"": 688, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 26.2, ""side_estim_deg"": 0.2414, ""elongation_factor"": 2.5, ""postalCode_ranges"": ""[78615-000 78619-999]""}"
333720,76,5101258,Araputanga,MT,APT,1806505,araputanga,BR-MT-Araputanga,65,"{""area_sr"": 0.13489, ""area_km2"": 1603, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 40, ""side_estim_deg"": 0.3673, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[78260-000 78264-999]""}"
333619,76,5101308,Arenápolis,MT,AOS,1806305,arenapolis,BR-MT-Arenapolis,65,"{""area_sr"": 0.03475, ""area_km2"": 414, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.4, ""side_estim_deg"": 0.1864, ""elongation_factor"": 1.81, ""postalCode_ranges"": ""[78420-000 78424-999]""}"
333630,76,5101407,Aripuanã,MT,AYP,1805412,aripuana,BR-MT-Aripuana,66,"{""area_sr"": 2.07081, ""area_km2"": 25098, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 158.4, ""side_estim_deg"": 1.439, ""elongation_factor"": 1.79, ""postalCode_ranges"": ""[78325-000 78329-999]""}"
333638,76,5101704,"Barra do Bugres",MT,BBG,1805676,barra.bugres,BR-MT-BarraBugres,65,"{""area_sr"": 0.50976, ""area_km2"": 6065, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 77.9, ""side_estim_deg"": 0.714, ""elongation_factor"": 3.91, ""postalCode_ranges"": ""[78390-000 78397-999]""}"
333659,76,5101803,"Barra do Garças",MT,BAG,577720,barra.garcas,BR-MT-BarraGarcas,66,"{""area_sr"": 0.76909, ""area_km2"": 9137, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 95.6, ""side_estim_deg"": 0.877, ""elongation_factor"": 2.4, ""postalCode_ranges"": ""[78600-000 78609-999]""}"
333718,76,5101605,"Barão de Melgaço",MT,BML,1806364,barao.melgaco,BR-MT-BaraoMelgaco,65,"{""area_sr"": 0.94896, ""area_km2"": 11194, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 105.8, ""side_estim_deg"": 0.9741, ""elongation_factor"": 2.16, ""postalCode_ranges"": ""[78190-000 78194-999]""}"
333634,76,5101852,"Bom Jesus do Araguaia",MT,,2012959,bom.jesus.araguaia,BR-MT-BomJesusAraguaia,66,"{""area_sr"": 0.35523, ""area_km2"": 4276, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 65.4, ""side_estim_deg"": 0.596, ""elongation_factor"": 2.09, ""postalCode_ranges"": ""[78678-000 78679-999]""}"
333688,76,5101902,Brasnorte,MT,BNR,1806329,brasnorte,BR-MT-Brasnorte,66,"{""area_sr"": 1.32789, ""area_km2"": 15972, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 126.4, ""side_estim_deg"": 1.1523, ""elongation_factor"": 2.15, ""postalCode_ranges"": ""[78350-000 78359-999]""}"
333646,76,5102603,Campinápolis,MT,KAS,955067,campinapolis,BR-MT-Campinapolis,66,"{""area_sr"": 0.50001, ""area_km2"": 5967, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 77.2, ""side_estim_deg"": 0.7071, ""elongation_factor"": 2.07, ""postalCode_ranges"": ""[78630-000 78634-999]""}"
333696,76,5102637,"Campo Novo do Parecis",MT,CZN,1793164,campo.novo.parecis,BR-MT-CampoNovoParecis,65,"{""area_sr"": 0.78789, ""area_km2"": 9430, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 97.1, ""side_estim_deg"": 0.8876, ""elongation_factor"": 2.07, ""postalCode_ranges"": ""[78360-000 78364-999]""}"
