osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
185660,76,1500107,Abaetetuba,PA,ABT,1615298,abaetetuba,BR-PA-Abaetetuba,91,"{""area_sr"": 0.13086, ""area_km2"": 1610, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 160439}, ""side_estim_km"": 40.1, ""side_estim_deg"": 0.3617, ""elongation_factor"": 1.71, ""postalCode_ranges"": ""[68440-000 68444-999]""}"
185560,76,1500131,"Abel Figueiredo",PA,,942803,abel.figueiredo,BR-PA-AbelFigueiredo,94,"{""area_sr"": 0.04996, ""area_km2"": 613, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7536}, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.2235, ""elongation_factor"": 2.17, ""postalCode_ranges"": ""[68527-000 68529-999]""}"
185641,76,1500206,Acará,PA,AKA,1804839,acara,BR-PA-Acara,91,"{""area_sr"": 0.35244, ""area_km2"": 4335, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 55744}, ""side_estim_km"": 65.8, ""side_estim_deg"": 0.5937, ""elongation_factor"": 2.5, ""postalCode_ranges"": ""[68690-000 68694-999]""}"
185616,76,1500305,Afuá,PA,AFU,389536,afua,BR-PA-Afua,91,"{""area_sr"": 0.67848, ""area_km2"": 8351, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 39910}, ""side_estim_km"": 91.4, ""side_estim_deg"": 0.8237, ""elongation_factor"": 1.79, ""postalCode_ranges"": ""[68890-000 68899-999]""}"
185674,76,1500404,Alenquer,PA,ALQ,2289869,alenquer,BR-PA-Alenquer,93,"{""area_sr"": 1.9216, ""area_km2"": 23649, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 57390}, ""side_estim_km"": 153.8, ""side_estim_deg"": 1.3862, ""elongation_factor"": 3.12, ""postalCode_ranges"": ""[68200-000 68209-999]""}"
185668,76,1500503,Almeirim,PA,AMM,2342023,almeirim,BR-PA-Almeirim,93,"{""area_sr"": 5.9323, ""area_km2"": 73007, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 34044}, ""side_estim_km"": 270.2, ""side_estim_deg"": 2.4356, ""elongation_factor"": 2.61, ""postalCode_ranges"": ""[68230-000 68249-999]""}"
185554,76,1500602,Altamira,PA,ATM,434285,altamira,BR-PA-Altamira,93,"{""area_sr"": 13.04665, ""area_km2"": 159525, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 117320}, ""side_estim_km"": 399.4, ""side_estim_deg"": 3.612, ""elongation_factor"": 2.73, ""postalCode_ranges"": ""[68370-001 68379-999]""}"
185578,76,1500701,Anajás,PA,AAJ,1804346,anajas,BR-PA-Anajas,91,"{""area_sr"": 0.56257, ""area_km2"": 6924, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 30091}, ""side_estim_km"": 83.2, ""side_estim_deg"": 0.75, ""elongation_factor"": 1.79, ""postalCode_ranges"": ""[68810-000 68814-999]""}"
185610,76,1500800,Ananindeua,PA,AIU,485887,ananindeua,BR-PA-Ananindeua,91,"{""area_sr"": 0.0154, ""area_km2"": 189, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 540410}, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1241, ""elongation_factor"": 2.7, ""postalCode_ranges"": ""[67000-001 67199-999]""}"
185572,76,1500859,Anapu,PA,,22060315,anapu,BR-PA-Anapu,91,"{""area_sr"": 0.96918, ""area_km2"": 11901, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 29312}, ""side_estim_km"": 109.1, ""side_estim_deg"": 0.9845, ""elongation_factor"": 3.26, ""postalCode_ranges"": ""[68365-000 68369-999]""}"
90129,76,1500909,"Augusto Corrêa",PA,AGU,1804338,augusto.correa,BR-PA-AugustoCorrea,91,"{""area_sr"": 0.08618, ""area_km2"": 1061, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 46937}, ""side_estim_km"": 32.6, ""side_estim_deg"": 0.2936, ""elongation_factor"": 5, ""postalCode_ranges"": ""[68610-000 68616-999]""}"
