osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
301434,76,2500205,Aguiar,PB,AGY,1998462,aguiar,BR-PB-Aguiar,83,"{""area_sr"": 0.02881, ""area_km2"": 352, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5622}, ""side_estim_km"": 18.8, ""side_estim_deg"": 0.1697, ""elongation_factor"": 2.19, ""postalCode_ranges"": ""[58778-000 58779-999]""}"
301311,76,2500304,"Alagoa Grande",PB,AGG,1998976,alagoa.grande,BR-PB-AlagoaGrande,83,"{""area_sr"": 0.0262, ""area_km2"": 320, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 28384}, ""side_estim_km"": 17.9, ""side_estim_deg"": 0.1619, ""elongation_factor"": 1.65, ""postalCode_ranges"": ""[58388-000 58389-999]""}"
301447,76,2500403,"Alagoa Nova",PB,AGO,1816238,alagoa.nova,BR-PB-AlagoaNova,83,"{""area_sr"": 0.01014, ""area_km2"": 124, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 20992}, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1007, ""elongation_factor"": 1.98, ""postalCode_ranges"": ""[58125-000 58127-999]""}"
301306,76,2500502,Alagoinha,PB,AHA,2065239,alagoinha,BR-PB-Alagoinha,83,"{""area_sr"": 0.00795, ""area_km2"": 97, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14629}, ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0892, ""elongation_factor"": 1.75, ""postalCode_ranges"": ""[58390-000 58392-999]""}"
301330,76,2500536,Alcantil,PB,,1816058,alcantil,BR-PB-Alcantil,83,"{""area_sr"": 0.02508, ""area_km2"": 306, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5527}, ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1584, ""elongation_factor"": 1.78, ""postalCode_ranges"": ""[58460-000 58462-999]""}"
301430,76,2500577,"Algodão de Jandaíra",PB,,1759357,algodao.jandaira,BR-PB-AlgodaoJandaira,83,"{""area_sr"": 0.01806, ""area_km2"": 221, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2588}, ""side_estim_km"": 14.9, ""side_estim_deg"": 0.1344, ""elongation_factor"": 2.42, ""postalCode_ranges"": ""[58399-000 58399-999]""}"
301323,76,2500601,Alhandra,PB,AHD,385529,alhandra,BR-PB-Alhandra,83,"{""area_sr"": 0.01506, ""area_km2"": 184, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 19865}, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1227, ""elongation_factor"": 2.37, ""postalCode_ranges"": ""[58320-000 58321-999]""}"
301265,76,2500734,Amparo,PB,,2010915,amparo,BR-PB-Amparo,83,"{""area_sr"": 0.00997, ""area_km2"": 122, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2264}, ""side_estim_km"": 11, ""side_estim_deg"": 0.0999, ""elongation_factor"": 1.41, ""postalCode_ranges"": ""[58548-000 58549-999]""}"
301271,76,2500775,Aparecida,PB,,2077855,aparecida,BR-PB-Aparecida,83,"{""area_sr"": 0.02372, ""area_km2"": 290, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8482}, ""side_estim_km"": 17, ""side_estim_deg"": 0.154, ""elongation_factor"": 1.74, ""postalCode_ranges"": ""[58823-000 58823-999]""}"
301380,76,2500908,Arara,PB,ARX,37378,arara,BR-PB-Arara,83,"{""area_sr"": 0.00811, ""area_km2"": 99, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 13613}, ""side_estim_km"": 10, ""side_estim_deg"": 0.09, ""elongation_factor"": 2.06, ""postalCode_ranges"": ""[58396-000 58396-999]""}"
301427,76,2501005,Araruna,PB,AAN,2065337,araruna,BR-PB-Araruna,83,"{""area_sr"": 0.01976, ""area_km2"": 242, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 20610}, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1406, ""elongation_factor"": 1.77, ""postalCode_ranges"": ""[58233-000 58234-999]""}"
301364,76,2500809,Araçagi,PB,AAG,374669,aracagi,BR-PB-Aracagi,83,"{""area_sr"": 0.01892, ""area_km2"": 231, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 16857}, ""side_estim_km"": 15.2, ""side_estim_deg"": 0.1376, ""elongation_factor"": 2.18, ""postalCode_ranges"": ""[58270-000 58272-999]""}"
301478,76,2501104,Areia,PB,AEI,1816283,areia,BR-PB-Areia,83,"{""area_sr"": 0.02184, ""area_km2"": 267, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22493}, ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1478, ""elongation_factor"": 1.6, ""postalCode_ranges"": ""[58397-000 58397-999]""}"
301474,76,2501153,"Areia de Baraúnas",PB,,1800798,areia.baraunas,BR-PB-AreiaBaraunas,83,"{""area_sr"": 0.00935, ""area_km2"": 114, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2105}, ""side_estim_km"": 10.7, ""side_estim_deg"": 0.0967, ""elongation_factor"": 1.86, ""postalCode_ranges"": ""[58732-000 58732-999]""}"
301353,76,2501203,Areial,PB,AEA,963490,areial,BR-PB-Areial,83,"{""area_sr"": 0.00293, ""area_km2"": 36, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7054}, ""side_estim_km"": 6, ""side_estim_deg"": 0.0541, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[58140-000 58144-999]""}"
301425,76,2501302,Aroeiras,PB,AES,1808029,aroeiras,BR-PB-Aroeiras,83,"{""area_sr"": 0.0308, ""area_km2"": 376, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 19081}, ""side_estim_km"": 19.4, ""side_estim_deg"": 0.1755, ""elongation_factor"": 1.77, ""postalCode_ranges"": ""[58489-000 58491-999]""}"
301400,76,2501351,Assunção,PB,,1808674,assuncao,BR-PB-Assuncao,83,"{""area_sr"": 0.01083, ""area_km2"": 132, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 4067}, ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1041, ""elongation_factor"": 1.38, ""postalCode_ranges"": ""[58685-000 58689-999]""}"
301418,76,2501500,Bananeiras,PB,BNN,525672,bananeiras,BR-PB-Bananeiras,83,"{""area_sr"": 0.021, ""area_km2"": 257, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 21220}, ""side_estim_km"": 16, ""side_estim_deg"": 0.1449, ""elongation_factor"": 1.56, ""postalCode_ranges"": ""[58220-000 58224-999]""}"
301346,76,2501534,Baraúna,PB,,2662559,barauna,BR-PB-Barauna,83,"{""area_sr"": 0.00415, ""area_km2"": 51, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5033}, ""side_estim_km"": 7.1, ""side_estim_deg"": 0.0644, ""elongation_factor"": 2.27, ""postalCode_ranges"": ""[58188-000 58194-999]""}"
301341,76,2501609,"Barra de Santa Rosa",PB,BEN,1800788,barra.santa.rosa,BR-PB-BarraSantaRosa,83,"{""area_sr"": 0.06332, ""area_km2"": 774, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 15607}, ""side_estim_km"": 27.8, ""side_estim_deg"": 0.2516, ""elongation_factor"": 1.56, ""postalCode_ranges"": ""[58170-000 58172-999]""}"
301475,76,2501575,"Barra de Santana",PB,,1808715,barra.santana,BR-PB-BarraSantana,83,"{""area_sr"": 0.03061, ""area_km2"": 374, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8338}, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1749, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[58458-000 58459-999]""}"
301391,76,2501708,"Barra de São Miguel",PB,BRG,2309706,barra.sao.miguel,BR-PB-BarraSaoMiguel,83,"{""area_sr"": 0.04888, ""area_km2"": 596, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6095}, ""side_estim_km"": 24.4, ""side_estim_deg"": 0.2211, ""elongation_factor"": 1.88, ""postalCode_ranges"": ""[58483-000 58484-999]""}"
301421,76,2501807,Bayeux,PB,BEX,2065978,bayeux,BR-PB-Bayeux,83,"{""area_sr"": 0.00229, ""area_km2"": 28, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 97519}, ""side_estim_km"": 5.3, ""side_estim_deg"": 0.0478, ""elongation_factor"": 2.5, ""postalCode_ranges"": ""[58305-001 58309-999]""}"
301291,76,2501401,"Baía da Traição",PB,BAI,978537,baia.traicao,BR-PB-BaiaTraicao,83,"{""area_sr"": 0.00845, ""area_km2"": 103, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 9197}, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.0919, ""elongation_factor"": 1.47, ""postalCode_ranges"": ""[58295-000 58296-999]""}"
301342,76,2501906,Belém,PB,BEM,792606,belem,BR-PB-Belem,83,"{""area_sr"": 0.00821, ""area_km2"": 100, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 17733}, ""side_estim_km"": 10, ""side_estim_deg"": 0.0906, ""elongation_factor"": 1.92, ""postalCode_ranges"": ""[58255-000 58259-999]""}"
301355,76,2502003,"Belém do Brejo do Cruz",PB,BBZ,285051,belem.brejo.cruz,BR-PB-BelemBrejoCruz,83,"{""area_sr"": 0.04916, ""area_km2"": 602, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7356}, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.2217, ""elongation_factor"": 2.37, ""postalCode_ranges"": ""[58895-000 58899-999]""}"
301375,76,2502052,"Bernardino Batista",PB,,1816080,bernardino.batista,BR-PB-BernardinoBatista,83,"{""area_sr"": 0.00469, ""area_km2"": 57, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3571}, ""side_estim_km"": 7.6, ""side_estim_deg"": 0.0685, ""elongation_factor"": 1.94, ""postalCode_ranges"": ""[58922-000 58924-999]""}"
301326,76,2502102,"Boa Ventura",PB,BVE,677612,boa.ventura,BR-PB-BoaVentura,83,"{""area_sr"": 0.01383, ""area_km2"": 169, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5248}, ""side_estim_km"": 13, ""side_estim_deg"": 0.1176, ""elongation_factor"": 1.33, ""postalCode_ranges"": ""[58993-000 58993-999]""}"
301450,76,2502151,"Boa Vista",PB,,2065971,boa.vista,BR-PB-BoaVista,83,"{""area_sr"": 0.039, ""area_km2"": 476, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7218}, ""side_estim_km"": 21.8, ""side_estim_deg"": 0.1975, ""elongation_factor"": 1.44, ""postalCode_ranges"": ""[58123-000 58124-999]""}"
301406,76,2502201,"Bom Jesus",PB,BEU,2066065,bom.jesus,BR-PB-BomJesus,83,"{""area_sr"": 0.0041, ""area_km2"": 50, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2588}, ""side_estim_km"": 7.1, ""side_estim_deg"": 0.064, ""elongation_factor"": 2.53, ""postalCode_ranges"": ""[58930-000 58932-999]""}"
6226469,76,2502300,"Bom Sucesso",PB,BMU,2087575,bom.sucesso,BR-PB-BomSucesso,83,"{""area_sr"": 0.01503, ""area_km2"": 184, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 4937}, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1226, ""elongation_factor"": 1.37, ""postalCode_ranges"": ""[58887-000 58889-999]""}"
301297,76,2502409,"Bonito de Santa Fé",PB,BSF,776733,bonito.santa.fe,BR-PB-BonitoSantaFe,83,"{""area_sr"": 0.01869, ""area_km2"": 228, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 12126}, ""side_estim_km"": 15.1, ""side_estim_deg"": 0.1367, ""elongation_factor"": 1.63, ""postalCode_ranges"": ""[58960-000 58969-999]""}"
301431,76,2502508,Boqueirão,PB,BQO,1808935,boqueirao,BR-PB-Boqueirao,83,"{""area_sr"": 0.03071, ""area_km2"": 375, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 17934}, ""side_estim_km"": 19.4, ""side_estim_deg"": 0.1753, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[58450-000 58454-999]""}"
301440,76,2502706,Borborema,PB,BBE,338286,borborema,BR-PB-Borborema,83,"{""area_sr"": 0.00212, ""area_km2"": 26, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5311}, ""side_estim_km"": 5.1, ""side_estim_deg"": 0.046, ""elongation_factor"": 2.39, ""postalCode_ranges"": ""[58394-000 58394-999]""}"
301302,76,2502805,"Brejo do Cruz",PB,BJZ,1808002,brejo.cruz,BR-PB-BrejoCruz,83,"{""area_sr"": 0.03274, ""area_km2"": 401, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14287}, ""side_estim_km"": 20, ""side_estim_deg"": 0.1809, ""elongation_factor"": 1.5, ""postalCode_ranges"": ""[58890-000 58892-999]""}"
301305,76,2502904,"Brejo dos Santos",PB,BOA,1808661,brejo.santos,BR-PB-BrejoSantos,83,"{""area_sr"": 0.00766, ""area_km2"": 94, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6479}, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0875, ""elongation_factor"": 1.65, ""postalCode_ranges"": ""[58880-000 58883-999]""}"
301470,76,2503001,Caaporã,PB,CPX,1816118,caapora,BR-PB-Caapora,83,"{""area_sr"": 0.01225, ""area_km2"": 149, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22079}, ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1107, ""elongation_factor"": 1.63, ""postalCode_ranges"": ""[58326-000 58327-999]""}"
301361,76,2503100,Cabaceiras,PB,CCK,606068,cabaceiras,BR-PB-Cabaceiras,83,"{""area_sr"": 0.03847, ""area_km2"": 470, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5710}, ""side_estim_km"": 21.7, ""side_estim_deg"": 0.1961, ""elongation_factor"": 2.22, ""postalCode_ranges"": ""[58480-000 58482-999]""}"
301292,76,2503209,Cabedelo,PB,CBD,986350,cabedelo,BR-PB-Cabedelo,83,"{""area_sr"": 0.00263, ""area_km2"": 32, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 69773}, ""side_estim_km"": 5.7, ""side_estim_deg"": 0.0513, ""elongation_factor"": 3.43, ""postalCode_ranges"": ""[58100-001 58109-999]""}"
301415,76,2503308,"Cachoeira dos Índios",PB,CHY,1816046,cachoeira.indios,BR-PB-CachoeiraIndios,83,"{""area_sr"": 0.01581, ""area_km2"": 193, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 10364}, ""side_estim_km"": 13.9, ""side_estim_deg"": 0.1257, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[58935-000 58939-999]""}"
301260,76,2503407,"Cacimba de Areia",PB,CKE,1807989,cacimba.areia,BR-PB-CacimbaAreia,83,"{""area_sr"": 0.01743, ""area_km2"": 213, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3708}, ""side_estim_km"": 14.6, ""side_estim_deg"": 0.132, ""elongation_factor"": 1.1, ""postalCode_ranges"": ""[58730-000 58731-999]""}"
301357,76,2503506,"Cacimba de Dentro",PB,CIB,1816227,cacimba.dentro,BR-PB-CacimbaDentro,83,"{""area_sr"": 0.01373, ""area_km2"": 168, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 17169}, ""side_estim_km"": 13, ""side_estim_deg"": 0.1172, ""elongation_factor"": 1.39, ""postalCode_ranges"": ""[58230-000 58232-999]""}"
