osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
303627,76,2600054,"Abreu e Lima",PE,ABU,536569,abreu.lima,BR-PE-AbreuLima,81,"{""area_sr"": 0.01039, ""area_km2"": 127, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 100698}, ""side_estim_km"": 11.3, ""side_estim_deg"": 0.1019, ""elongation_factor"": 3.28, ""postalCode_ranges"": ""[53500-001 53599-999]""}"
303749,76,2600104,"Afogados da Ingazeira",PE,AFI,1761348,afogados.ingazeira,BR-PE-AfogadosIngazeira,87,"{""area_sr"": 0.03056, ""area_km2"": 373, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 37546}, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1748, ""elongation_factor"": 1.9, ""postalCode_ranges"": ""[56800-000 56819-999]""}"
303647,76,2600203,Afrânio,PE,AFO,2065815,afranio,BR-PE-Afranio,87,"{""area_sr"": 0.12245, ""area_km2"": 1491, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 19981}, ""side_estim_km"": 38.6, ""side_estim_deg"": 0.3499, ""elongation_factor"": 2.21, ""postalCode_ranges"": ""[56360-000 56379-999]""}"
303594,76,2600302,Agrestina,PE,AGE,1787629,agrestina,BR-PE-Agrestina,81,"{""area_sr"": 0.01643, ""area_km2"": 200, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 25240}, ""side_estim_km"": 14.1, ""side_estim_deg"": 0.1282, ""elongation_factor"": 2.02, ""postalCode_ranges"": ""[55495-000 55499-999]""}"
303674,76,2600609,Alagoinha,PE,AGH,938278,alagoinha,BR-PE-Alagoinha,87,"{""area_sr"": 0.01789, ""area_km2"": 218, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14798}, ""side_estim_km"": 14.8, ""side_estim_deg"": 0.1338, ""elongation_factor"": 1.46, ""postalCode_ranges"": ""[55260-000 55269-999]""}"
303655,76,2600708,Aliança,PE,AIN,2010570,alianca,BR-PE-Alianca,81,"{""area_sr"": 0.02245, ""area_km2"": 274, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 38408}, ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1498, ""elongation_factor"": 1.86, ""postalCode_ranges"": ""[55890-000 55899-999]""}"
303680,76,2600807,Altinho,PE,ANH,1844246,altinho,BR-PE-Altinho,81,"{""area_sr"": 0.03737, ""area_km2"": 455, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22996}, ""side_estim_km"": 21.3, ""side_estim_deg"": 0.1933, ""elongation_factor"": 1.62, ""postalCode_ranges"": ""[55490-000 55494-999]""}"
2696547,76,2600906,Amaraji,PE,ARJ,1839783,amaraji,BR-PE-Amaraji,81,"{""area_sr"": 0.01932, ""area_km2"": 235, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22910}, ""side_estim_km"": 15.3, ""side_estim_deg"": 0.139, ""elongation_factor"": 1.51, ""postalCode_ranges"": ""[55515-000 55519-999]""}"
303616,76,2601003,Angelim,PE,AGM,1987808,angelim,BR-PE-Angelim,87,"{""area_sr"": 0.00963, ""area_km2"": 117, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11301}, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.0981, ""elongation_factor"": 1.93, ""postalCode_ranges"": ""[55430-000 55434-999]""}"
303714,76,2601102,Araripina,PE,ARR,626344,araripina,BR-PE-Araripina,87,"{""area_sr"": 0.15514, ""area_km2"": 1893, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 85301}, ""side_estim_km"": 43.5, ""side_estim_deg"": 0.3939, ""elongation_factor"": 1.48, ""postalCode_ranges"": ""[56280-000 56299-999]""}"
303613,76,2601052,Araçoiaba,PE,,2010873,aracoiaba,BR-PE-Aracoiaba,81,"{""area_sr"": 0.00798, ""area_km2"": 97, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 20936}, ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0893, ""elongation_factor"": 2.07, ""postalCode_ranges"": ""[53690-000 53699-999]""}"
303736,76,2601201,Arcoverde,PE,ACV,637902,arcoverde,BR-PE-Arcoverde,87,"{""area_sr"": 0.0288, ""area_km2"": 351, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2020-07-01"", ""method"": ""estimate"", ""population"": 74822}, ""side_estim_km"": 18.7, ""side_estim_deg"": 0.1697, ""elongation_factor"": 1.93, ""postalCode_ranges"": ""[56500-001 56519-999]""}"
303652,76,2601300,"Barra de Guabiraba",PE,BGB,1811106,barra.guabiraba,BR-PE-BarraGuabiraba,81,"{""area_sr"": 0.0095, ""area_km2"": 116, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14632}, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.0975, ""elongation_factor"": 1.83, ""postalCode_ranges"": ""[55690-000 55694-999]""}"
303632,76,2601409,Barreiros,PE,BAR,2102404,barreiros,BR-PE-Barreiros,81,"{""area_sr"": 0.01928, ""area_km2"": 235, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 42866}, ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1389, ""elongation_factor"": 2.47, ""postalCode_ranges"": ""[55560-000 55564-999]""}"
303599,76,2601706,"Belo Jardim",PE,BJM,949079,belo.jardim,BR-PE-BeloJardim,81,"{""area_sr"": 0.05311, ""area_km2"": 647, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 76930}, ""side_estim_km"": 25.4, ""side_estim_deg"": 0.2304, ""elongation_factor"": 2.48, ""postalCode_ranges"": ""[55150-001 55169-999]""}"
303741,76,2601508,"Belém de Maria",PE,BEL,746519,belem.maria,BR-PE-BelemMaria,81,"{""area_sr"": 0.00609, ""area_km2"": 74, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 12169}, ""side_estim_km"": 8.6, ""side_estim_deg"": 0.0781, ""elongation_factor"": 2.56, ""postalCode_ranges"": ""[55440-000 55449-999]""}"
303631,76,2601607,"Belém do São Francisco",PE,BLF,1811159,belem.sao.francisco,BR-PE-BelemSaoFrancisco,87,"{""area_sr"": 0.15065, ""area_km2"": 1834, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 20730}, ""side_estim_km"": 42.8, ""side_estim_deg"": 0.3881, ""elongation_factor"": 1.87, ""postalCode_ranges"": ""[56440-000 56459-999]""}"
303717,76,2601805,Betânia,PE,BEA,2065057,betania,BR-PE-Betania,87,"{""area_sr"": 0.10207, ""area_km2"": 1244, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 12811}, ""side_estim_km"": 35.3, ""side_estim_deg"": 0.3195, ""elongation_factor"": 1.2, ""postalCode_ranges"": ""[56670-000 56699-999]""}"
303649,76,2601904,Bezerros,PE,,2011830,bezerros,BR-PE-Bezerros,81,"{""area_sr"": 0.04029, ""area_km2"": 491, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 60960}, ""side_estim_km"": 22.2, ""side_estim_deg"": 0.2007, ""elongation_factor"": 1.85, ""postalCode_ranges"": ""[55660-000 55664-999]""}"
303737,76,2602001,Bodocó,PE,BOO,524487,bodoco,BR-PE-Bodoco,87,"{""area_sr"": 0.13259, ""area_km2"": 1618, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 38605}, ""side_estim_km"": 40.2, ""side_estim_deg"": 0.3641, ""elongation_factor"": 1.97, ""postalCode_ranges"": ""[56220-000 56229-999]""}"
303648,76,2602100,"Bom Conselho",PE,BCE,568749,bom.conselho,BR-PE-BomConselho,87,"{""area_sr"": 0.06504, ""area_km2"": 791, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 48975}, ""side_estim_km"": 28.1, ""side_estim_deg"": 0.255, ""elongation_factor"": 2.07, ""postalCode_ranges"": ""[55330-000 55339-999]""}"
303757,76,2602209,"Bom Jardim",PE,BJI,2097751,bom.jardim,BR-PE-BomJardim,81,"{""area_sr"": 0.01824, ""area_km2"": 223, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 40038}, ""side_estim_km"": 14.9, ""side_estim_deg"": 0.1351, ""elongation_factor"": 2.55, ""postalCode_ranges"": ""[55730-000 55739-999]""}"
