osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
302709,76,2200053,Acauã,PI,,2066143,acaua,BR-PI-Acaua,89,"{""postalCode_ranges"": ""[64748-000 64749-999]""}"
302845,76,2200103,Agricolândia,PI,AIL,1936312,agricolandia,BR-PI-Agricolandia,86,"{""postalCode_ranges"": ""[64440-000 64444-999]""}"
302769,76,2200202,Água Branca,PI,ABA,578114,agua.branca,BR-PI-AguaBranca,86,"{""postalCode_ranges"": ""[64460-000 64464-999]""}"
302669,76,2200251,Alagoinha do Piauí,PI,AKP,2064226,alagoinha.piaui,BR-PI-AlagoinhaPiaui,89,"{""postalCode_ranges"": ""[64655-000 64659-999]""}"
302852,76,2200277,Alegrete do Piauí,PI,,633346,alegrete.piaui,BR-PI-AlegretePiaui,89,"{""postalCode_ranges"": ""[64675-000 64677-999]""}"
302804,76,2200301,Alto Longá,PI,AOX,636564,alto.longa,BR-PI-AltoLonga,86,"{""postalCode_ranges"": ""[64360-000 64364-999]""}"
-762200400,76,2200400,Altos,PI,ATS,1940492,altos,BR-PI-Altos,86,"{""postalCode_ranges"": ""[64290-000 64294-999]""}"
302725,76,2200459,Alvorada do Gurguéia,PI,,1940535,alvorada.gurgueia,BR-PI-AlvoradaGurgueia,89,"{""postalCode_ranges"": ""[64923-000 64924-999]""}"
-762200509,76,2200509,Amarante,PI,ANT,2094729,amarante,BR-PI-Amarante,86,"{""postalCode_ranges"": ""[64400-000 64409-999]""}"
302863,76,2200608,Angical do Piauí,PI,ALD,1892127,angical.piaui,BR-PI-AngicalPiaui,86,"{""postalCode_ranges"": ""[64410-000 64414-999]""}"
302719,76,2200707,Anísio de Abreu,PI,ASB,1938748,anisio.abreu,BR-PI-AnisioAbreu,89,"{""postalCode_ranges"": ""[64780-000 64781-999]""}"
302758,76,2200806,Antônio Almeida,PI,AMD,2064181,antonio.almeida,BR-PI-AntonioAlmeida,89,"{""postalCode_ranges"": ""[64855-000 64857-999]""}"
302815,76,2200905,Aroazes,PI,ARZ,1940548,aroazes,BR-PI-Aroazes,89,"{""postalCode_ranges"": ""[64310-000 64314-999]""}"
302678,76,2200954,Aroeiras do Itaim,PI,,2095297,aroeiras.itaim,BR-PI-AroeirasItaim,89,"{""postalCode_ranges"": ""[64612-000 64612-999]""}"
302658,76,2201002,Arraial,PI,ARK,2064170,arraial,BR-PI-Arraial,89,"{""postalCode_ranges"": ""[64480-000 64489-999]""}"
302685,76,2201051,Assunção do Piauí,PI,,2078771,assuncao.piaui,BR-PI-AssuncaoPiaui,86,"{""postalCode_ranges"": ""[64333-000 64334-999]""}"
302667,76,2201101,Avelino Lopes,PI,AVP,1809642,avelino.lopes,BR-PI-AvelinoLopes,89,"{""postalCode_ranges"": ""[64965-000 64967-999]""}"
302841,76,2201150,Baixa Grande do Ribeiro,PI,,2049334,baixa.grande.ribeiro,BR-PI-BaixaGrandeRibeiro,89,"{""postalCode_ranges"": ""[64868-000 64869-999]""}"
302668,76,2201176,Barra D'Alcântara,PI,,1938757,barra.alcantara,BR-PI-BarraAlcantara,89,"{""postalCode_ranges"": ""[64528-000 64529-999]""}"
302767,76,2201200,Barras,PI,BRZ,808836,barras,BR-PI-Barras,86,"{""postalCode_ranges"": ""[64100-000 64104-999]""}"
302724,76,2201309,Barreiras do Piauí,PI,BSD,618000,barreiras.piaui,BR-PI-BarreirasPiaui,89,"{""postalCode_ranges"": ""[64990-000 64992-999]""}"
302756,76,2201408,Barro Duro,PI,BDU,2064159,barro.duro,BR-PI-BarroDuro,86,"{""postalCode_ranges"": ""[64455-000 64459-999]""}"
302711,76,2201507,Batalha,PI,BLH,2012017,batalha,BR-PI-Batalha,86,"{""postalCode_ranges"": ""[64190-000 64199-999]""}"
302742,76,2201556,Bela Vista do Piauí,PI,,378812,bela.vista.piaui,BR-PI-BelaVistaPiaui,89,"{""postalCode_ranges"": ""[64705-000 64709-999]""}"
302828,76,2201572,Belém do Piauí,PI,,1811039,belem.piaui,BR-PI-BelemPiaui,89,"{""postalCode_ranges"": ""[64678-000 64679-999]""}"
302808,76,2201606,Beneditinos,PI,BTS,1981008,beneditinos,BR-PI-Beneditinos,86,"{""postalCode_ranges"": ""[64380-000 64387-999]""}"
302849,76,2201705,Bertolínia,PI,BTL,769524,bertolinia,BR-PI-Bertolinia,89,"{""postalCode_ranges"": ""[64870-000 64872-999]""}"
302778,76,2201739,Betânia do Piauí,PI,,2064331,betania.piaui,BR-PI-BetaniaPiaui,89,"{""postalCode_ranges"": ""[64753-000 64754-999]""}"
302715,76,2201770,Boa Hora,PI,,1838960,boa.hora,BR-PI-BoaHora,86,"{""postalCode_ranges"": ""[64108-000 64109-999]""}"
302831,76,2201804,Bocaina,PI,BCI,2097681,bocaina,BR-PI-Bocaina,89,"{""postalCode_ranges"": ""[64630-000 64634-999]""}"
302689,76,2201903,Bom Jesus,PI,BOM,891715,bom.jesus,BR-PI-BomJesus,89,"{""postalCode_ranges"": ""[64900-000 64904-999]""}"
302729,76,2201919,Bom Princípio do Piauí,PI,,2063977,bom.principio.piaui,BR-PI-BomPrincipioPiaui,86,"{""postalCode_ranges"": ""[64225-000 64227-999]""}"
302716,76,2201929,Bonfim do Piauí,PI,,2089257,bonfim.piaui,BR-PI-BonfimPiaui,89,"{""postalCode_ranges"": ""[64775-000 64777-999]""}"
302833,76,2201945,Boqueirão do Piauí,PI,,2078789,boqueirao.piaui,BR-PI-BoqueiraoPiaui,86,"{""postalCode_ranges"": ""[64283-000 64284-999]""}"
302643,76,2201960,Brasileira,PI,,2329749,brasileira,BR-PI-Brasileira,86,"{""postalCode_ranges"": ""[64265-000 64269-999]""}"
302737,76,2201988,Brejo do Piauí,PI,,2089172,brejo.piaui,BR-PI-BrejoPiaui,89,"{""postalCode_ranges"": ""[64895-000 64897-999]""}"
302861,76,2202000,Buriti dos Lopes,PI,BIL,2064004,buriti.lopes,BR-PI-BuritiLopes,86,"{""postalCode_ranges"": ""[64230-000 64232-999]""}"
302865,76,2202026,Buriti dos Montes,PI,,1999799,buriti.montes,BR-PI-BuritiMontes,86,"{""postalCode_ranges"": ""[64345-000 64349-999]""}"
302721,76,2202059,Cabeceiras do Piauí,PI,,1938976,cabeceiras.piaui,BR-PI-CabeceirasPiaui,86,"{""postalCode_ranges"": ""[64105-000 64107-999]""}"
302703,76,2202075,Cajazeiras do Piauí,PI,,2064526,cajazeiras.piaui,BR-PI-CajazeirasPiaui,89,"{""postalCode_ranges"": ""[64514-000 64515-999]""}"
302712,76,2202083,Cajueiro da Praia,PI,,2064154,cajueiro.praia,BR-PI-CajueiroPraia,86,"{""postalCode_ranges"": ""[64222-000 64223-999]""}"
302843,76,2202091,Caldeirão Grande do Piauí,PI,,2064592,caldeirao.grande.piaui,BR-PI-CaldeiraoGrandePiaui,89,"{""postalCode_ranges"": ""[64695-000 64699-999]""}"
302765,76,2202109,Campinas do Piauí,PI,CKU,1938871,campinas.piaui,BR-PI-CampinasPiaui,89,"{""postalCode_ranges"": ""[64730-000 64739-999]""}"
302847,76,2202117,Campo Alegre do Fidalgo,PI,,2064600,campo.alegre.fidalgo,BR-PI-CampoAlegreFidalgo,89,"{""postalCode_ranges"": ""[64767-000 64767-999]""}"
302810,76,2202133,Campo Grande do Piauí,PI,,2064482,campo.grande.piaui,BR-PI-CampoGrandePiaui,89,"{""postalCode_ranges"": ""[64578-000 64579-999]""}"
302674,76,2202174,Campo Largo do Piauí,PI,,1938765,campo.largo.piaui,BR-PI-CampoLargoPiaui,86,"{""postalCode_ranges"": ""[64148-000 64149-999]""}"
302832,76,2202208,Campo Maior,PI,CRA,2105005,campo.maior,BR-PI-CampoMaior,86,"{""postalCode_ranges"": ""[64280-000 64282-999]""}"
302665,76,2202251,Canavieira,PI,,2078429,canavieira,BR-PI-Canavieira,89,"{""postalCode_ranges"": ""[64833-000 64834-999]""}"
