osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
297753,76,4100103,Abatiá,PR,AAT,784855,abatia,BR-PR-Abatia,43,"{""area_sr"": 0.02005, ""area_km2"": 227, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7360}, ""side_estim_km"": 15.1, ""side_estim_deg"": 0.1416, ""elongation_factor"": 2.7, ""postalCode_ranges"": ""[86460-000 86464-999]""}"
297737,76,4100202,Adrianópolis,PR,ADP,1779965,adrianopolis,BR-PR-Adrianopolis,41,"{""area_sr"": 0.11975, ""area_km2"": 1341, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5797}, ""side_estim_km"": 36.6, ""side_estim_deg"": 0.3461, ""elongation_factor"": 2.55, ""postalCode_ranges"": ""[83490-000 83499-999]""}"
297862,76,4100301,"Agudos do Sul",PR,ADU,398170,agudos.sul,BR-PR-AgudosSul,41,"{""area_sr"": 0.01725, ""area_km2"": 191, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 9567}, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1314, ""elongation_factor"": 2.36, ""postalCode_ranges"": ""[83850-000 83859-999]""}"
297693,76,4100400,"Almirante Tamandaré",PR,ATT,1650078,almirante.tamandare,BR-PR-AlmiranteTamandare,41,"{""area_sr"": 0.01748, ""area_km2"": 195, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 121420}, ""side_estim_km"": 14, ""side_estim_deg"": 0.1322, ""elongation_factor"": 2.21, ""postalCode_ranges"": ""[83500-001 83534-999]""}"
297754,76,4100459,"Altamira do Paraná",PR,AMP,1804753,altamira.parana,BR-PR-AltamiraParana,44,"{""area_sr"": 0.03456, ""area_km2"": 387, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 1429}, ""side_estim_km"": 19.7, ""side_estim_deg"": 0.1859, ""elongation_factor"": 3.45, ""postalCode_ranges"": ""[85280-000 85299-999]""}"
297674,76,4100608,"Alto Paraná",PR,APA,2075653,alto.parana,BR-PR-AltoParana,44,"{""area_sr"": 0.03587, ""area_km2"": 407, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14945}, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1894, ""elongation_factor"": 1.86, ""postalCode_ranges"": ""[87750-000 87759-999]""}"
297540,76,4128625,"Alto Paraíso",PR,,2064812,alto.paraiso,BR-PR-AltoParaiso,46,"{""area_sr"": 0.08577, ""area_km2"": 970, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2630}, ""side_estim_km"": 31.1, ""side_estim_deg"": 0.2929, ""elongation_factor"": 1, ""postalCode_ranges"": ""[87528-000 87529-999]""}"
297571,76,4100707,"Alto Piquiri",PR,ATQ,1804740,alto.piquiri,BR-PR-AltoPiquiri,44,"{""area_sr"": 0.03966, ""area_km2"": 447, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 9722}, ""side_estim_km"": 21.1, ""side_estim_deg"": 0.1991, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[87580-000 87594-999]""}"
297700,76,4100509,Altônia,PR,AOA,1805388,altonia,BR-PR-Altonia,44,"{""area_sr"": 0.05914, ""area_km2"": 667, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22293}, ""side_estim_km"": 25.8, ""side_estim_deg"": 0.2432, ""elongation_factor"": 1.81, ""postalCode_ranges"": ""[87550-000 87554-999]""}"
297788,76,4100806,"Alvorada do Sul",PR,AVL,1805380,alvorada.sul,BR-PR-AlvoradaSul,43,"{""area_sr"": 0.03741, ""area_km2"": 425, ""fat_deg_m"": 0.0000094, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11598}, ""side_estim_km"": 20.6, ""side_estim_deg"": 0.1934, ""elongation_factor"": 1.85, ""postalCode_ranges"": ""[86150-000 86159-999]""}"
