osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2217370,76,3300100,"Angra dos Reis",RJ,ARS,542829,angra.reis,BR-RJ-AngraReis,24,"{""area_sr"": 0.07168, ""area_km2"": 814, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 28.5, ""side_estim_deg"": 0.2677, ""elongation_factor"": -1, ""postalCode_ranges"": ""[23900-001 23969-999]""}"
2215535,76,3300159,Aperibé,RJ,,1787636,aperibe,BR-RJ-Aperibe,22,"{""area_sr"": 0.00846, ""area_km2"": 97, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 9.8, ""side_estim_deg"": 0.092, ""elongation_factor"": 1.71, ""postalCode_ranges"": ""[28495-000 28499-999]""}"
2215536,76,3300209,Araruama,RJ,AMA,1761549,araruama,BR-RJ-Araruama,22,"{""area_sr"": 0.05562, ""area_km2"": 633, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 25.2, ""side_estim_deg"": 0.2358, ""elongation_factor"": 1.92, ""postalCode_ranges"": ""[28970-000 28989-999]""}"
2215537,76,3300225,Areal,RJ,,1761573,areal,BR-RJ-Areal,24,"{""area_sr"": 0.00976, ""area_km2"": 111, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 10.6, ""side_estim_deg"": 0.0988, ""elongation_factor"": 2.13, ""postalCode_ranges"": ""[25845-000 25849-999]""}"
2215538,76,3300233,"Armação dos Búzios",RJ,,680119,armacao.buzios,BR-RJ-ArmacaoBuzios,22,"{""area_sr"": 0.00613, ""area_km2"": 70, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 8.4, ""side_estim_deg"": 0.0783, ""elongation_factor"": 2.91, ""postalCode_ranges"": ""[28950-000 28959-999]""}"
2215539,76,3300258,"Arraial do Cabo",RJ,ACB,1750235,arraial.cabo,BR-RJ-ArraialCabo,22,"{""area_sr"": 0.01391, ""area_km2"": 158, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 12.6, ""side_estim_deg"": 0.1179, ""elongation_factor"": 3.53, ""postalCode_ranges"": ""[28930-000 28939-999]""}"
2217371,76,3300407,"Barra Mansa",RJ,BMA,808797,barra.mansa,BR-RJ-BarraMansa,24,"{""area_sr"": 0.04793, ""area_km2"": 546, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 23.4, ""side_estim_deg"": 0.2189, ""elongation_factor"": 2.92, ""postalCode_ranges"": ""[27300-001 27399-999]""}"
2217372,76,3300308,"Barra do Piraí",RJ,BPI,1750175,barra.pirai,BR-RJ-BarraPirai,24,"{""area_sr"": 0.05076, ""area_km2"": 579, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 24.1, ""side_estim_deg"": 0.2253, ""elongation_factor"": 2.26, ""postalCode_ranges"": ""[27000-001 27174-999]""}"
2220781,76,3300456,"Belford Roxo",RJ,,737636,belford.roxo,BR-RJ-BelfordRoxo,21,"{""area_sr"": 0.00684, ""area_km2"": 78, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.0827, ""elongation_factor"": 1.21, ""postalCode_ranges"": ""[26100-001 26199-999]""}"
2215540,76,3300506,"Bom Jardim",RJ,BJR,628978,bom.jardim,BR-RJ-BomJardim,22,"{""area_sr"": 0.03371, ""area_km2"": 385, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 19.6, ""side_estim_deg"": 0.1836, ""elongation_factor"": 1.74, ""postalCode_ranges"": ""[28660-000 28679-999]""}"
2213687,76,3300605,"Bom Jesus do Itabapoana",RJ,BJO,1750011,bom.jesus.itabapoana,BR-RJ-BomJesusItabapoana,22,"{""area_sr"": 0.05188, ""area_km2"": 597, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 24.4, ""side_estim_deg"": 0.2278, ""elongation_factor"": 3.15, ""postalCode_ranges"": ""[28360-000 28374-999]""}"
2215541,76,3300704,"Cabo Frio",RJ,CBF,735025,cabo.frio,BR-RJ-CaboFrio,22,"{""area_sr"": 0.03515, ""area_km2"": 400, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 20, ""side_estim_deg"": 0.1875, ""elongation_factor"": 2.93, ""postalCode_ranges"": ""[28900-001 28929-999]""}"
2219086,76,3300803,"Cachoeiras de Macacu",RJ,CHM,1983181,cachoeiras.macacu,BR-RJ-CachoeirasMacacu,21,"{""area_sr"": 0.08386, ""area_km2"": 955, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.2896, ""elongation_factor"": 1.69, ""postalCode_ranges"": ""[28680-000 28699-999]""}"
2215542,76,3300902,Cambuci,RJ,CMC,1787650,cambuci,BR-RJ-Cambuci,22,"{""area_sr"": 0.04898, ""area_km2"": 562, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2213, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[28430-000 28454-999]""}"
2211795,76,3301009,"Campos dos Goytacazes",RJ,CPS,689868,campos.goytacazes,BR-RJ-CamposGoytacazes,22,"{""area_sr"": 0.3494, ""area_km2"": 4002, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 63.3, ""side_estim_deg"": 0.5911, ""elongation_factor"": 2.66, ""postalCode_ranges"": ""[28000-001 28179-999]""}"
2215543,76,3301108,Cantagalo,RJ,CTG,1763072,cantagalo,BR-RJ-Cantagalo,22,"{""area_sr"": 0.06543, ""area_km2"": 749, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 27.4, ""side_estim_deg"": 0.2558, ""elongation_factor"": 1.59, ""postalCode_ranges"": ""[28500-000 28539-999]""}"
2212558,76,3300936,Carapebus,RJ,,1787642,carapebus,BR-RJ-Carapebus,22,"{""area_sr"": 0.02675, ""area_km2"": 305, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1636, ""elongation_factor"": 1.06, ""postalCode_ranges"": ""[27998-000 27999-999]""}"
2211796,76,3301157,"Cardoso Moreira",RJ,,1807668,cardoso.moreira,BR-RJ-CardosoMoreira,22,"{""area_sr"": 0.04488, ""area_km2"": 515, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2119, ""elongation_factor"": 1.42, ""postalCode_ranges"": ""[28180-000 28199-999]""}"
2215544,76,3301207,Carmo,RJ,CMO,1765089,carmo,BR-RJ-Carmo,22,"{""area_sr"": 0.02806, ""area_km2"": 321, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.9, ""side_estim_deg"": 0.1675, ""elongation_factor"": 2, ""postalCode_ranges"": ""[28640-000 28649-999]""}"
8259411,76,3301306,"Casimiro de Abreu",RJ,CBU,1761688,casimiro.abreu,BR-RJ-CasimiroAbreu,22,"{""area_sr"": 0.04068, ""area_km2"": 464, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 21.5, ""side_estim_deg"": 0.2017, ""elongation_factor"": 2.54, ""postalCode_ranges"": ""[28860-000 28889-999]""}"
