osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
301076,76,2400109,Acari,RN,ACI,2008611,acari,BR-RN-Acari,84,"{""area_sr"": 0.04975, ""area_km2"": 609, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11106}, ""side_estim_km"": 24.7, ""side_estim_deg"": 0.223, ""elongation_factor"": 1.5, ""postalCode_ranges"": ""[59370-000 59373-999]""}"
301186,76,2400307,"Afonso Bezerra",RN,AFZ,1788960,afonso.bezerra,BR-RN-AfonsoBezerra,84,"{""area_sr"": 0.04706, ""area_km2"": 577, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11024}, ""side_estim_km"": 24, ""side_estim_deg"": 0.2169, ""elongation_factor"": 2.01, ""postalCode_ranges"": ""[59510-000 59512-999]""}"
301217,76,2400505,Alexandria,RN,AXD,2099372,alexandria,BR-RN-Alexandria,84,"{""area_sr"": 0.03116, ""area_km2"": 381, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 13529}, ""side_estim_km"": 19.5, ""side_estim_deg"": 0.1765, ""elongation_factor"": 2.17, ""postalCode_ranges"": ""[59965-000 59969-999]""}"
301188,76,2400604,"Almino Afonso",RN,ALF,1802697,almino.afonso,BR-RN-AlminoAfonso,84,"{""area_sr"": 0.01046, ""area_km2"": 128, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 4685}, ""side_estim_km"": 11.3, ""side_estim_deg"": 0.1023, ""elongation_factor"": 2.11, ""postalCode_ranges"": ""[59760-000 59769-999]""}"
301199,76,2400703,"Alto do Rodrigues",RN,ADG,1787554,alto.rodrigues,BR-RN-AltoRodrigues,84,"{""area_sr"": 0.01558, ""area_km2"": 191, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14923}, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1248, ""elongation_factor"": 2.37, ""postalCode_ranges"": ""[59507-000 59507-999]""}"
301122,76,2400802,Angicos,RN,ANO,1989884,angicos,BR-RN-Angicos,84,"{""area_sr"": 0.06063, ""area_km2"": 743, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11695}, ""side_estim_km"": 27.3, ""side_estim_deg"": 0.2462, ""elongation_factor"": 2.01, ""postalCode_ranges"": ""[59515-000 59516-999]""}"
301142,76,2400901,"Antônio Martins",RN,ANM,1788470,antonio.martins,BR-RN-AntonioMartins,84,"{""area_sr"": 0.01998, ""area_km2"": 245, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7162}, ""side_estim_km"": 15.6, ""side_estim_deg"": 0.1413, ""elongation_factor"": 2.52, ""postalCode_ranges"": ""[59870-000 59879-999]""}"
301112,76,2401008,Apodi,RN,APD,2008084,apodi,BR-RN-Apodi,84,"{""area_sr"": 0.13085, ""area_km2"": 1603, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 35904}, ""side_estim_km"": 40, ""side_estim_deg"": 0.3617, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[59700-000 59729-999]""}"
301097,76,2401107,"Areia Branca",RN,ABC,2072691,areia.branca,BR-RN-AreiaBranca,84,"{""area_sr"": 0.02921, ""area_km2"": 358, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 28156}, ""side_estim_km"": 18.9, ""side_estim_deg"": 0.1709, ""elongation_factor"": 2.21, ""postalCode_ranges"": ""[59655-000 59659-999]""}"
301152,76,2401206,Arês,RN,ARE,928712,ares,BR-RN-Ares,84,"{""area_sr"": 0.0095, ""area_km2"": 116, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 14526}, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.0975, ""elongation_factor"": 1.78, ""postalCode_ranges"": ""[59170-000 59172-999]""}"
301109,76,2400208,Açu,RN,ACU,1788873,acu,BR-RN-Acu,84,"{""area_sr"": 0.10616, ""area_km2"": 1301, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2020-07-01"", ""method"": ""estimate"", ""population"": 58384}, ""side_estim_km"": 36.1, ""side_estim_deg"": 0.3258, ""elongation_factor"": 1.68, ""postalCode_ranges"": ""[59650-000 59654-999]""}"
301189,76,2401453,Baraúna,RN,BRN,1970827,barauna,BR-RN-Barauna,84,"{""area_sr"": 0.06738, ""area_km2"": 826, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 29112}, ""side_estim_km"": 28.7, ""side_estim_deg"": 0.2596, ""elongation_factor"": 1.39, ""postalCode_ranges"": ""[59695-000 59699-999]""}"
301130,76,2401503,Barcelona,RN,BRC,2011622,barcelona,BR-RN-Barcelona,84,"{""area_sr"": 0.0125, ""area_km2"": 153, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3989}, ""side_estim_km"": 12.4, ""side_estim_deg"": 0.1118, ""elongation_factor"": 2.22, ""postalCode_ranges"": ""[59410-000 59419-999]""}"
301192,76,2401404,"Baía Formosa",RN,BFA,282133,baia.formosa,BR-RN-BaiaFormosa,84,"{""area_sr"": 0.02008, ""area_km2"": 246, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 9373}, ""side_estim_km"": 15.7, ""side_estim_deg"": 0.1417, ""elongation_factor"": 1.71, ""postalCode_ranges"": ""[59194-000 59195-999]""}"
301075,76,2401602,"Bento Fernandes",RN,BFN,1802840,bento.fernandes,BR-RN-BentoFernandes,84,"{""area_sr"": 0.02458, ""area_km2"": 301, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5552}, ""side_estim_km"": 17.4, ""side_estim_deg"": 0.1568, ""elongation_factor"": 1.93, ""postalCode_ranges"": ""[59555-000 59559-999]""}"
301147,76,2405306,"Boa Saúde",RN,,1802783,boa.saude,BR-RN-BoaSaude,84,"{""area_sr"": 0.01531, ""area_km2"": 187, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 10367}, ""side_estim_km"": 13.7, ""side_estim_deg"": 0.1237, ""elongation_factor"": 1.89, ""postalCode_ranges"": ""[59260-000 59269-999]""}"
301127,76,2401651,Bodó,RN,,1802663,bodo,BR-RN-Bodo,84,"{""area_sr"": 0.02071, ""area_km2"": 254, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2171}, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1439, ""elongation_factor"": 1.85, ""postalCode_ranges"": ""[59528-000 59529-999]""}"
301131,76,2401701,"Bom Jesus",RN,BOU,2011643,bom.jesus,BR-RN-BomJesus,84,"{""area_sr"": 0.01, ""area_km2"": 122, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 10323}, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1, ""elongation_factor"": -1, ""postalCode_ranges"": ""[59270-000 59274-999]""}"
301086,76,2401800,Brejinho,RN,BJN,2088956,brejinho,BR-RN-Brejinho,84,"{""area_sr"": 0.00507, ""area_km2"": 62, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 12873}, ""side_estim_km"": 7.9, ""side_estim_deg"": 0.0712, ""elongation_factor"": 1.58, ""postalCode_ranges"": ""[59219-000 59219-999]""}"
