osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
326291,76,1400050,"Alto Alegre",RR,AER,1763240,alto.alegre,BR-RR-AltoAlegre,95,"{""area_sr"": 2.07697, ""area_km2"": 25529, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 159.8, ""side_estim_deg"": 1.4412, ""elongation_factor"": 2.78, ""postalCode_ranges"": ""[69350-000 69354-999]""}"
326296,76,1400027,Amajari,RR,,1646965,amajari,BR-RR-Amajari,95,"{""area_sr"": 2.31214, ""area_km2"": 28401, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 168.5, ""side_estim_deg"": 1.5206, ""elongation_factor"": 3.51, ""postalCode_ranges"": ""[69343-000 69344-999]""}"
326286,76,1400100,"Boa Vista",RR,BVA,181056,boa.vista,BR-RR-BoaVista,95,"{""area_sr"": 0.46175, ""area_km2"": 5676, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 75.3, ""side_estim_deg"": 0.6795, ""elongation_factor"": 1.87, ""postalCode_ranges"": ""[69300-001 69339-999]""}"
326289,76,1400159,Bonfim,RR,BFI,1763254,bonfim,BR-RR-Bonfim,95,"{""area_sr"": 0.65683, ""area_km2"": 8075, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 89.9, ""side_estim_deg"": 0.8104, ""elongation_factor"": 2.53, ""postalCode_ranges"": ""[69380-000 69389-999]""}"
326284,76,1400175,Cantá,RR,,1646914,canta,BR-RR-Canta,95,"{""area_sr"": 0.62356, ""area_km2"": 7669, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 87.6, ""side_estim_deg"": 0.7897, ""elongation_factor"": 1.76, ""postalCode_ranges"": ""[69390-000 69399-999]""}"
326293,76,1400209,Caracaraí,RR,CKR,772563,caracarai,BR-RR-Caracarai,95,"{""area_sr"": 3.85699, ""area_km2"": 47465, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 217.9, ""side_estim_deg"": 1.9639, ""elongation_factor"": 2.88, ""postalCode_ranges"": ""[69360-000 69369-999]""}"
326290,76,1400233,Caroebe,RR,,748315,caroebe,BR-RR-Caroebe,95,"{""area_sr"": 0.98086, ""area_km2"": 12072, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 109.9, ""side_estim_deg"": 0.9904, ""elongation_factor"": 1.37, ""postalCode_ranges"": ""[69378-000 69379-999]""}"
326294,76,1400282,Iracema,RR,,1786374,iracema,BR-RR-Iracema,95,"{""area_sr"": 1.14842, ""area_km2"": 14126, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 118.9, ""side_estim_deg"": 1.0716, ""elongation_factor"": 3.39, ""postalCode_ranges"": ""[69348-000 69349-999]""}"
326297,76,1400308,Mucajaí,RR,MJI,1637423,mucajai,BR-RR-Mucajai,95,"{""area_sr"": 1.01328, ""area_km2"": 12461, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 111.6, ""side_estim_deg"": 1.0066, ""elongation_factor"": 2.48, ""postalCode_ranges"": ""[69340-000 69342-999]""}"
326282,76,1400407,Normandia,RR,NRD,1750038,normandia,BR-RR-Normandia,95,"{""area_sr"": 0.56715, ""area_km2"": 6966, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 83.5, ""side_estim_deg"": 0.7531, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[69355-000 69357-999]""}"
326283,76,1400456,Pacaraima,RR,,1647045,pacaraima,BR-RR-Pacaraima,95,"{""area_sr"": 0.65314, ""area_km2"": 8019, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 89.5, ""side_estim_deg"": 0.8082, ""elongation_factor"": 2.59, ""postalCode_ranges"": ""[69345-000 69347-999]""}"
326292,76,1400472,Rorainópolis,RR,,1646932,rorainopolis,BR-RR-Rorainopolis,95,"{""area_sr"": 2.72558, ""area_km2"": 33548, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 183.2, ""side_estim_deg"": 1.6509, ""elongation_factor"": 2.4, ""postalCode_ranges"": ""[69373-000 69374-999]""}"
326285,76,1400506,"São João da Baliza",RR,SBZ,1646960,sao.joao.baliza,BR-RR-SaoJoaoBaliza,95,"{""area_sr"": 0.34749, ""area_km2"": 4277, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 65.4, ""side_estim_deg"": 0.5895, ""elongation_factor"": 2.15, ""postalCode_ranges"": ""[69375-000 69377-999]""}"
326295,76,1400605,"São Luiz",RR,SZW,1751337,sao.luiz,BR-RR-SaoLuiz,95,"{""area_sr"": 0.12455, ""area_km2"": 1533, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 39.2, ""side_estim_deg"": 0.3529, ""elongation_factor"": 2.12, ""postalCode_ranges"": ""[69370-000 69372-999]""}"
326288,76,1400704,Uiramutã,RR,,1637434,uiramuta,BR-RR-Uiramuta,95,"{""area_sr"": 0.66101, ""area_km2"": 8110, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 90.1, ""side_estim_deg"": 0.813, ""elongation_factor"": 2.35, ""postalCode_ranges"": ""[69358-000 69359-999]""}"
