osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
242480,76,4300901,Aratiba,RS,ARB,33961,aratiba,BR-RS-Aratiba,54,"{""postalCode_ranges"": ""[99770-000 99789-999]""}"
242682,76,4300034,Aceguá,RS,,913259,acegua,BR-RS-Acegua,53,"{""postalCode_ranges"": ""[96445-000 96449-999]""}"
242438,76,4300059,Água Santa,RS,AHS,249795,agua.santa,BR-RS-AguaSanta,54,"{""postalCode_ranges"": ""[99965-000 99969-999]""}"
242758,76,4300109,Agudo,RS,AUD,398173,agudo,BR-RS-Agudo,55,"{""postalCode_ranges"": ""[96540-000 96544-999]""}"
242740,76,4300208,Ajuricaba,RS,,413408,ajuricaba,BR-RS-Ajuricaba,55,"{""postalCode_ranges"": ""[98750-000 98757-999]""}"
242326,76,4300307,Alecrim,RS,AEM,995308,alecrim,BR-RS-Alecrim,55,"{""postalCode_ranges"": ""[98950-000 98954-999]""}"
242346,76,4300406,Alegrete,RS,ALG,851276,alegrete,BR-RS-Alegrete,55,"{""postalCode_ranges"": ""[97540-001 97559-999]""}"
242375,76,4300455,Alegria,RS,AGQ,601127,alegria,BR-RS-Alegria,55,"{""postalCode_ranges"": ""[98905-000 98909-999]""}"
242597,76,4300471,Almirante Tamandaré do Sul,RS,,957758,almirante.tamandare.sul,BR-RS-AlmiranteTamandareSul,54,"{""postalCode_ranges"": ""[99523-000 99524-999]""}"
242578,76,4300505,Alpestre,RS,ASR,957796,alpestre,BR-RS-Alpestre,55,"{""postalCode_ranges"": ""[98480-000 98499-999]""}"
242493,76,4300554,Alto Alegre,RS,AAY,1806753,alto.alegre,BR-RS-AltoAlegre,54,"{""postalCode_ranges"": ""[99430-000 99434-999]""}"
242606,76,4300570,Alto Feliz,RS,,33958,alto.feliz,BR-RS-AltoFeliz,51,"{""postalCode_ranges"": ""[95773-000 95774-999]""}"
242711,76,4300604,Alvorada,RS,AVA,449593,alvorada,BR-RS-Alvorada,51,"{""postalCode_ranges"": ""[94800-001 94899-999]""}"
