osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
296665,76,4200051,"Abdon Batista",SC,ANB,1637414,abdon.batista,BR-SC-AbdonBatista,49,"{""area_sr"": 0.02158, ""area_km2"": 236, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2534}, ""side_estim_km"": 15.4, ""side_estim_deg"": 0.1469, ""elongation_factor"": 2.22, ""postalCode_ranges"": ""[89636-000 89637-999]""}"
296601,76,4200101,"Abelardo Luz",SC,ADZ,1637506,abelardo.luz,BR-SC-AbelardoLuz,49,"{""area_sr"": 0.08644, ""area_km2"": 954, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 18015}, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.294, ""elongation_factor"": 1.96, ""postalCode_ranges"": ""[89830-000 89831-999]""}"
296768,76,4200200,Agrolândia,SC,ALY,397387,agrolandia,BR-SC-Agrolandia,47,"{""area_sr"": 0.01896, ""area_km2"": 208, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11160}, ""side_estim_km"": 14.4, ""side_estim_deg"": 0.1377, ""elongation_factor"": 2.37, ""postalCode_ranges"": ""[88420-000 88429-999]""}"
296564,76,4200309,Agronômica,SC,AOC,1754594,agronomica,BR-SC-Agronomica,47,"{""area_sr"": 0.01183, ""area_km2"": 130, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5570}, ""side_estim_km"": 11.4, ""side_estim_deg"": 0.1088, ""elongation_factor"": 1.94, ""postalCode_ranges"": ""[89188-000 89189-999]""}"
296694,76,4200705,"Alfredo Wagner",SC,AWR,1754557,alfredo.wagner,BR-SC-AlfredoWagner,48,"{""area_sr"": 0.06699, ""area_km2"": 732, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 10136}, ""side_estim_km"": 27.1, ""side_estim_deg"": 0.2588, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[88450-000 88459-999]""}"
296615,76,4200754,"Alto Bela Vista",SC,,1758023,alto.bela.vista,BR-SC-AltoBelaVista,49,"{""area_sr"": 0.00954, ""area_km2"": 105, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 1915}, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.0977, ""elongation_factor"": 3.23, ""postalCode_ranges"": ""[89730-000 89734-999]""}"
296772,76,4200804,Anchieta,SC,AHT,1935710,anchieta,BR-SC-Anchieta,49,"{""area_sr"": 0.02074, ""area_km2"": 229, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5477}, ""side_estim_km"": 15.1, ""side_estim_deg"": 0.144, ""elongation_factor"": 2.75, ""postalCode_ranges"": ""[89970-000 89979-999]""}"
296758,76,4200903,Angelina,SC,ALW,1784392,angelina,BR-SC-Angelina,48,"{""area_sr"": 0.0456, ""area_km2"": 499, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 4686}, ""side_estim_km"": 22.3, ""side_estim_deg"": 0.2136, ""elongation_factor"": 1.94, ""postalCode_ranges"": ""[88460-000 88469-999]""}"
296645,76,4201000,"Anita Garibaldi",SC,AGD,617657,anita.garibaldi,BR-SC-AnitaGaribaldi,49,"{""area_sr"": 0.05397, ""area_km2"": 590, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6783}, ""side_estim_km"": 24.3, ""side_estim_deg"": 0.2323, ""elongation_factor"": 2.18, ""postalCode_ranges"": ""[88590-000 88597-999]""}"
296583,76,4201109,Anitápolis,SC,AIP,1750770,anitapolis,BR-SC-Anitapolis,48,"{""area_sr"": 0.04954, ""area_km2"": 541, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3223}, ""side_estim_km"": 23.3, ""side_estim_deg"": 0.2226, ""elongation_factor"": 1.65, ""postalCode_ranges"": ""[88475-000 88484-999]""}"
296793,76,4201208,"Antônio Carlos",SC,AIC,22063985,antonio.carlos,BR-SC-AntonioCarlos,48,"{""area_sr"": 0.02128, ""area_km2"": 233, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8712}, ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1459, ""elongation_factor"": 1.61, ""postalCode_ranges"": ""[88180-000 88189-999]""}"
296690,76,4201257,Apiúna,SC,APK,1758008,apiuna,BR-SC-Apiuna,47,"{""area_sr"": 0.04497, ""area_km2"": 494, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 10951}, ""side_estim_km"": 22.2, ""side_estim_deg"": 0.2121, ""elongation_factor"": 1.78, ""postalCode_ranges"": ""[89135-000 89135-999]""}"
296603,76,4201273,Arabutã,SC,,374753,arabuta,BR-SC-Arabuta,49,"{""area_sr"": 0.01121, ""area_km2"": 123, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 4268}, ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1059, ""elongation_factor"": 2.11, ""postalCode_ranges"": ""[89740-000 89744-999]""}"
296537,76,4201307,Araquari,SC,AQI,607184,araquari,BR-SC-Araquari,47,"{""area_sr"": 0.0349, ""area_km2"": 386, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 40890}, ""side_estim_km"": 19.6, ""side_estim_deg"": 0.1868, ""elongation_factor"": 2.64, ""postalCode_ranges"": ""[89245-000 89246-999]""}"
296568,76,4201406,Araranguá,SC,ARU,626231,ararangua,BR-SC-Ararangua,48,"{""area_sr"": 0.02812, ""area_km2"": 304, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 69493}, ""side_estim_km"": 17.4, ""side_estim_deg"": 0.1677, ""elongation_factor"": 2.28, ""postalCode_ranges"": ""[88900-001 88913-999]""}"
296678,76,4201505,Armazém,SC,AZM,1764990,armazem,BR-SC-Armazem,48,"{""area_sr"": 0.01603, ""area_km2"": 174, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8843}, ""side_estim_km"": 13.2, ""side_estim_deg"": 0.1266, ""elongation_factor"": 1.98, ""postalCode_ranges"": ""[88740-000 88744-999]""}"
296552,76,4201604,"Arroio Trinta",SC,ATR,1758088,arroio.trinta,BR-SC-ArroioTrinta,49,"{""area_sr"": 0.00852, ""area_km2"": 94, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3547}, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0923, ""elongation_factor"": 2.37, ""postalCode_ranges"": ""[89590-000 89594-999]""}"
296618,76,4201653,Arvoredo,SC,,1758063,arvoredo,BR-SC-Arvoredo,49,"{""area_sr"": 0.00824, ""area_km2"": 91, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2228}, ""side_estim_km"": 9.5, ""side_estim_deg"": 0.0908, ""elongation_factor"": 2.43, ""postalCode_ranges"": ""[89778-000 89779-999]""}"
296640,76,4201703,Ascurra,SC,ASC,1758057,ascurra,BR-SC-Ascurra,47,"{""area_sr"": 0.01016, ""area_km2"": 112, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8021}, ""side_estim_km"": 10.6, ""side_estim_deg"": 0.1008, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[89138-000 89139-999]""}"
296780,76,4201802,Atalanta,SC,ATX,1815704,atalanta,BR-SC-Atalanta,47,"{""area_sr"": 0.00857, ""area_km2"": 94, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3179}, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0926, ""elongation_factor"": 1.41, ""postalCode_ranges"": ""[88410-000 88419-999]""}"
296577,76,4201901,Aurora,SC,AUK,2012016,aurora,BR-SC-Aurora,47,"{""area_sr"": 0.0189, ""area_km2"": 207, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5687}, ""side_estim_km"": 14.4, ""side_estim_deg"": 0.1375, ""elongation_factor"": 1.59, ""postalCode_ranges"": ""[89186-000 89187-999]""}"
296681,76,4201950,"Balneário Arroio do Silva",SC,,1758002,balneario.arroio.silva,BR-SC-BalnearioArroioSilva,48,"{""area_sr"": 0.0088, ""area_km2"": 95, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 13782}, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0938, ""elongation_factor"": 2.07, ""postalCode_ranges"": ""[88914-000 88914-999]""}"
296708,76,4202057,"Balneário Barra do Sul",SC,,1764948,balneario.barra.sul,BR-SC-BalnearioBarraSul,47,"{""area_sr"": 0.00983, ""area_km2"": 109, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11271}, ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0991, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[89247-000 89247-999]""}"
296508,76,4202008,"Balneário Camboriú",SC,BCU,598016,balneario.camboriu,BR-SC-BalnearioCamboriu,47,"{""area_sr"": 0.00417, ""area_km2"": 46, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 149227}, ""side_estim_km"": 6.8, ""side_estim_deg"": 0.0646, ""elongation_factor"": 2.74, ""postalCode_ranges"": ""[88330-001 88339-999]""}"
296739,76,4202073,"Balneário Gaivota",SC,,1757752,balneario.gaivota,BR-SC-BalnearioGaivota,48,"{""area_sr"": 0.01361, ""area_km2"": 147, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11537}, ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1167, ""elongation_factor"": 1.7, ""postalCode_ranges"": ""[88955-000 88959-999]""}"
296718,76,4212809,"Balneário Piçarras",SC,PCX,285815,balneario.picarras,BR-SC-BalnearioPicarras,47,"{""area_sr"": 0.00893, ""area_km2"": 98, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 24385}, ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0945, ""elongation_factor"": 1.69, ""postalCode_ranges"": ""[88380-000 88384-999]""}"
3059132,76,4220000,"Balneário Rincão",SC,,2881477,balneario.rincao,BR-SC-BalnearioRincao,48,"{""area_sr"": 0.00596, ""area_km2"": 64, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 13129}, ""side_estim_km"": 8, ""side_estim_deg"": 0.0772, ""elongation_factor"": 1.8, ""postalCode_ranges"": ""[88828-000 88829-999]""}"
296776,76,4202081,Bandeirante,SC,,941669,bandeirante,BR-SC-Bandeirante,49,"{""area_sr"": 0.01342, ""area_km2"": 148, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2618}, ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1159, ""elongation_factor"": 2.79, ""postalCode_ranges"": ""[89905-000 89905-999]""}"
296658,76,4202099,"Barra Bonita",SC,,1815639,barra.bonita,BR-SC-BarraBonita,49,"{""area_sr"": 0.00846, ""area_km2"": 93, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 1625}, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.092, ""elongation_factor"": 2.51, ""postalCode_ranges"": ""[89909-000 89909-999]""}"
296738,76,4202107,"Barra Velha",SC,BVH,808787,barra.velha,BR-SC-BarraVelha,47,"{""area_sr"": 0.01261, ""area_km2"": 139, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 30539}, ""side_estim_km"": 11.8, ""side_estim_deg"": 0.1123, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[88390-000 88394-999]""}"
296736,76,4202131,"Bela Vista do Toldo",SC,,1765028,bela.vista.toldo,BR-SC-BelaVistaToldo,47,"{""area_sr"": 0.04856, ""area_km2"": 537, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6386}, ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2204, ""elongation_factor"": 2.13, ""postalCode_ranges"": ""[89478-000 89479-999]""}"
296595,76,4202156,Belmonte,SC,,1799364,belmonte,BR-SC-Belmonte,49,"{""area_sr"": 0.00849, ""area_km2"": 93, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2712}, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0921, ""elongation_factor"": 2.29, ""postalCode_ranges"": ""[89925-000 89929-999]""}"
296740,76,4202206,"Benedito Novo",SC,BNV,817098,benedito.novo,BR-SC-BeneditoNovo,47,"{""area_sr"": 0.03522, ""area_km2"": 388, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11896}, ""side_estim_km"": 19.7, ""side_estim_deg"": 0.1877, ""elongation_factor"": 1.74, ""postalCode_ranges"": ""[89124-000 89125-999]""}"
296705,76,4202305,Biguaçu,SC,BGC,1754582,biguacu,BR-SC-Biguacu,48,"{""area_sr"": 0.03377, ""area_km2"": 370, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 70471}, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1838, ""elongation_factor"": 1.72, ""postalCode_ranges"": ""[88160-001 88179-999]""}"
296522,76,4202404,Blumenau,SC,BNU,155557,blumenau,BR-SC-Blumenau,47,"{""area_sr"": 0.04698, ""area_km2"": 517, ""fat_deg_m"": 0.0000095, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 366418}, ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2168, ""elongation_factor"": 3.02, ""postalCode_ranges"": ""[89000-001 89099-999]""}"
296754,76,4202438,"Bocaina do Sul",SC,,1750759,bocaina.sul,BR-SC-BocainaSul,49,"{""area_sr"": 0.04668, ""area_km2"": 510, ""fat_deg_m"": 0.0000096, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3501}, ""side_estim_km"": 22.6, ""side_estim_deg"": 0.2161, ""elongation_factor"": 2.49, ""postalCode_ranges"": ""[88538-000 88539-999]""}"
