osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
303917,76,2800100,"Amparo de São Francisco",SE,APF,1802043,amparo.sao.francisco,BR-SE-AmparoSaoFrancisco,79,"{""area_sr"": 0.00295, ""area_km2"": 36, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 6, ""side_estim_deg"": 0.0543, ""elongation_factor"": 1.79, ""postalCode_ranges"": ""[49920-000 49929-999]""}"
303893,76,2800209,Aquidabã,SE,AQB,2013098,aquidaba,BR-SE-Aquidaba,79,"{""area_sr"": 0.02962, ""area_km2"": 359, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 18.9, ""side_estim_deg"": 0.1721, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[49790-000 49799-999]""}"
303928,76,2800308,Aracaju,SE,AJU,170578,aracaju,BR-SE-Aracaju,79,"{""area_sr"": 0.01541, ""area_km2"": 186, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1241, ""elongation_factor"": 2.57, ""postalCode_ranges"": ""[49000-001 49099-999]""}"
303939,76,2800407,Arauá,SE,AUX,1802037,araua,BR-SE-Araua,79,"{""area_sr"": 0.01593, ""area_km2"": 192, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.9, ""side_estim_deg"": 0.1262, ""elongation_factor"": 1.57, ""postalCode_ranges"": ""[49220-000 49229-999]""}"
303915,76,2800506,"Areia Branca",SE,AEB,949854,areia.branca,BR-SE-AreiaBranca,79,"{""area_sr"": 0.0122, ""area_km2"": 148, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1105, ""elongation_factor"": 1.38, ""postalCode_ranges"": ""[49580-000 49599-999]""}"
303886,76,2800605,"Barra dos Coqueiros",SE,BQS,1784872,barra.coqueiros,BR-SE-BarraCoqueiros,79,"{""area_sr"": 0.00792, ""area_km2"": 96, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 9.8, ""side_estim_deg"": 0.089, ""elongation_factor"": 3.56, ""postalCode_ranges"": ""[49140-000 49149-999]""}"
303897,76,2800670,Boquim,SE,BQM,746187,boquim,BR-SE-Boquim,79,"{""area_sr"": 0.01703, ""area_km2"": 206, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 14.3, ""side_estim_deg"": 0.1305, ""elongation_factor"": 2.02, ""postalCode_ranges"": ""[49360-000 49389-999]""}"
303906,76,2800704,"Brejo Grande",SE,BEJ,1802013,brejo.grande,BR-SE-BrejoGrande,79,"{""area_sr"": 0.01192, ""area_km2"": 144, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 12, ""side_estim_deg"": 0.1092, ""elongation_factor"": 1.69, ""postalCode_ranges"": ""[49995-000 49999-999]""}"
303873,76,2801009,"Campo do Brito",SE,CDB,1801972,campo.brito,BR-SE-CampoBrito,79,"{""area_sr"": 0.0167, ""area_km2"": 202, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 14.2, ""side_estim_deg"": 0.1292, ""elongation_factor"": 2.17, ""postalCode_ranges"": ""[49520-000 49524-999]""}"
303875,76,2801108,Canhoba,SE,CHB,1801984,canhoba,BR-SE-Canhoba,79,"{""area_sr"": 0.01418, ""area_km2"": 172, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.1, ""side_estim_deg"": 0.1191, ""elongation_factor"": 2.24, ""postalCode_ranges"": ""[49880-000 49889-999]""}"
303895,76,2801207,"Canindé de São Francisco",SE,CFY,1807399,caninde.sao.francisco,BR-SE-CanindeSaoFrancisco,79,"{""area_sr"": 0.07428, ""area_km2"": 902, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 30, ""side_estim_deg"": 0.2726, ""elongation_factor"": 2.1, ""postalCode_ranges"": ""[49820-000 49829-999]""}"
