HouseNumber,SRID_29193
0241,POINT (350535.963071 7346238.383984)
0231,POINT (350523.667870 7346230.156786)
0221,POINT (350509.709229 7346224.167663)
0211,POINT (350497.051975 7346219.852735)
0251,POINT (350547.979042 7346242.801379)
1368,POINT (352260.964517 7349877.984618)
1343,POINT (350496.166514 7346817.072216)
0218,POINT (348188.628040 7346934.381782)
0216,POINT (348191.231325 7346932.120091)
0453,POINT (348004.777760 7347022.250174)
0711,POINT (347786.902784 7347199.553618)
0511,POINT (347930.868234 7347086.691298)
0471,POINT (347947.985481 7347072.968979)
0038,POINT (350444.714389 7347361.705918)
0300?,POINT (348349.215653 7345910.240744)
ou,POINT (348331.801472 7345922.740918)
0308,POINT (348332.811534 7345922.017524)
0310,POINT (348330.838782 7345923.482840)
1665,POINT (350934.233425 7346854.394461)
0225,POINT (348774.497387 7346247.637507)
0215,POINT (348766.215663 7346242.032772)
0201,POINT (348750.022701 7346230.678060)
0191,POINT (348741.740977 7346225.073324)
0015,POINT (350234.557833 7346006.401918)
0025,POINT (350246.079812 7346002.110041)
0035,POINT (350255.166001 7345998.683199)
0045,POINT (350264.188182 7345995.066287)
0055,POINT (350273.861992 7345991.454957)
0065,POINT (350283.119149 7345987.790296)
0075,POINT (350292.709323 7345984.409884)
0745,POINT (348065.585546 7347543.509548)
0735,POINT (348074.395230 7347536.401622)
0025,POINT (348390.310147 7345663.370787)
0017,POINT (350943.962460 7350351.710477)
0045,POINT (350975.219539 7350344.026966)
corrigir,POINT (350973.737192 7350343.390505)
corrigir,POINT (350945.328351 7350354.367265)
0508,POINT (349921.792611 7347433.936097)
1304,POINT (352203.278312 7350104.386578)
1264,POINT (352198.338039 7350107.206348)
1240,POINT (352173.563590 7350113.684697)
1166,POINT (352103.342954 7350138.488360)
1176,POINT (352109.196101 7350136.804567)
1188,POINT (352120.939049 7350132.945451)
0111,POINT (349951.500503 7345839.443890)
0101,POINT (349947.797443 7345848.633116)
0091,POINT (349943.619969 7345857.953047)
0081,POINT (349940.272719 7345867.403685)
0071,POINT (349936.398343 7345876.541764)
0061,POINT (349932.484433 7345885.753721)
0041,POINT (349925.473657 7345904.217414)
0051,POINT (349929.176717 7345895.573746)
0090,POINT (348280.467141 7346029.274955)
0088,POINT (350957.928066 7350171.568052)
0170,POINT (348198.067872 7346346.286889)
0160,POINT (348206.588182 7346338.443336)
0070,POINT (348275.853480 7346282.991207)
0080,POINT (348268.897310 7346288.358888)
0150,POINT (348216.482065 7346334.899835)
0140,POINT (348222.061415 7346325.743236)
0130,POINT (348229.684736 7346319.327985)
0120,POINT (348237.673272 7346313.438912)
0110,POINT (348245.317040 7346307.040422)
0100,POINT (348253.487058 7346300.900230)
0090,POINT (348261.114918 7346294.668339)
0060,POINT (348281.234290 7346245.866891)
0050,POINT (348275.802978 7346239.508021)
0030,POINT (348263.830144 7346223.734770)
0010,POINT (348252.449310 7346209.098536)
0430,POINT (348197.826017 7346216.728016)
0330,POINT (348117.841588 7346277.966421)
0340,POINT (348126.452798 7346271.831829)
0350,POINT (348132.331147 7346262.888167)
0360,POINT (348142.120819 7346259.147269)
0370,POINT (348150.092803 7346253.059016)
0380,POINT (348157.947266 7346246.736545)
0390,POINT (348165.936132 7346240.847230)
0400,POINT (348174.097378 7346234.818578)
0410,POINT (348182.119358 7346228.678246)
0420,POINT (348190.043295 7346222.594193)
0105,POINT (350286.277832 7345907.067935)
0206,POINT (350299.305620 7345906.462619)
0285,POINT (348668.841936 7346017.861541)
0568,POINT (348565.758969 7346480.061006)
0011,POINT (348474.260673 7345694.681400)
0166,POINT (350839.670829 7346375.947346)
0190,POINT (348356.522728 7345971.831688)
1252,POINT (352186.845690 7350110.672779)
0222,POINT (350518.150993 7346195.861566)
0210,POINT (350506.969887 7346191.504632)
0198,POINT (350495.788781 7346187.147699)
0186,POINT (350484.607675 7346182.790766)
0174,POINT (350473.426569 7346178.433832)
0162,POINT (350462.245463 7346174.076899)
0146,POINT (350447.337322 7346168.267654)
0134,POINT (350436.155834 7346163.910572)
0553,POINT (349052.852819 7346593.815196)
0154,POINT (348484.289116 7346488.458797)
0125,POINT (348890.459322 7346170.415284)
1147,POINT (349425.828459 7346133.533731)
0351,POINT (349440.033023 7346122.192084)
0463,POINT (351388.354821 7350200.982560)
0461,POINT (351381.458096 7350202.293089)
0116,POINT (351042.386199 7346795.173935)
correto,POINT (350187.254386 7346116.843878)
0225,POINT (350185.987132 7346117.464874)
correto,POINT (350125.940414 7346139.509321)
0161,POINT (350124.673160 7346140.130318)
correto,POINT (350093.267429 7346152.399555)
0129,POINT (350092.000175 7346153.020552)
0014,POINT (349980.580128 7346165.813544)
0010,POINT (349972.114999 7346169.258164)
correto,POINT (350179.620133 7346084.555929)
0224,POINT (350178.352879 7346085.176925)
correto,POINT (350167.263514 7346089.601856)
0214,POINT (350165.996260 7346090.222853)
correto,POINT (350158.000937 7346093.212373)
0204,POINT (350156.733683 7346093.833369)
correto,POINT (350148.813430 7346096.898141)
0194,POINT (350147.546176 7346097.519138)
correto,POINT (350139.464168 7346100.517331)
0184,POINT (350138.196914 7346101.138328)
correto,POINT (350130.050883 7346104.428734)
0174,POINT (350128.783629 7346105.049731)
0158,POINT (350119.431817 7346108.899930)
correto,POINT (350111.511564 7346111.889450)
0148,POINT (350110.244310 7346112.510447)
