osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
298151,76,3500105,Adamantina,SP,ADM,1637498,adamantina,BR-SP-Adamantina,18,"{""area_sr"": 0.0362, ""area_km2"": 415, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 20.4, ""side_estim_deg"": 0.1903, ""elongation_factor"": 2.13, ""postalCode_ranges"": ""[17800-000 17809-999]""}"
298302,76,3500204,Adolfo,SP,ADF,676044,adolfo,BR-SP-Adolfo,17,"{""area_sr"": 0.01834, ""area_km2"": 211, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 14.5, ""side_estim_deg"": 0.1354, ""elongation_factor"": 1.84, ""postalCode_ranges"": ""[15230-000 15239-999]""}"
298431,76,3500303,Aguaí,SP,AAI,1760037,aguai,BR-SP-Aguai,19,"{""area_sr"": 0.04144, ""area_km2"": 474, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 21.8, ""side_estim_deg"": 0.2036, ""elongation_factor"": 2.43, ""postalCode_ranges"": ""[13860-000 13869-999]""}"
298016,76,3500709,Agudos,SP,AGD,1750166,agudos,BR-SP-Agudos,14,"{""area_sr"": 0.08477, ""area_km2"": 965, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 31.1, ""side_estim_deg"": 0.2912, ""elongation_factor"": 2.45, ""postalCode_ranges"": ""[17120-000 17149-999]""}"
298120,76,3500758,Alambari,SP,ALA,513601,alambari,BR-SP-Alambari,15,"{""area_sr"": 0.01406, ""area_km2"": 159, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 12.6, ""side_estim_deg"": 0.1186, ""elongation_factor"": 1.91, ""postalCode_ranges"": ""[18220-000 18224-999]""}"
298398,76,3500808,"Alfredo Marcondes",SP,AFM,596678,alfredo.marcondes,BR-SP-AlfredoMarcondes,18,"{""area_sr"": 0.0102, ""area_km2"": 117, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.101, ""elongation_factor"": 1.73, ""postalCode_ranges"": ""[19180-000 19189-999]""}"
298035,76,3500907,Altair,SP,ATR,305132,altair,BR-SP-Altair,17,"{""area_sr"": 0.0271, ""area_km2"": 313, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1646, ""elongation_factor"": 2, ""postalCode_ranges"": ""[15430-000 15439-999]""}"
298422,76,3501004,Altinópolis,SP,ATP,1112482,altinopolis,BR-SP-Altinopolis,16,"{""area_sr"": 0.08076, ""area_km2"": 929, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 30.5, ""side_estim_deg"": 0.2842, ""elongation_factor"": 2.36, ""postalCode_ranges"": ""[14350-000 14389-999]""}"
298202,76,3501103,"Alto Alegre",SP,AAG,1806762,alto.alegre,BR-SP-AltoAlegre,18,"{""area_sr"": 0.02796, ""area_km2"": 321, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 17.9, ""side_estim_deg"": 0.1672, ""elongation_factor"": 1.61, ""postalCode_ranges"": ""[16310-000 16339-999]""}"
298114,76,3501152,Alumínio,SP,ALM,642894,aluminio,BR-SP-Aluminio,11,"{""area_sr"": 0.00741, ""area_km2"": 84, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 9.2, ""side_estim_deg"": 0.0861, ""elongation_factor"": 2.1, ""postalCode_ranges"": ""[18125-000 18129-999]""}"
