osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
336740,76,1700251,Abreulândia,TO,,1784836,abreulandia,BR-TO-Abreulandia,63,"{""area_sr"": 0.15601, ""area_km2"": 1895, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 2609}, ""side_estim_km"": 43.5, ""side_estim_deg"": 0.395, ""elongation_factor"": 3.02, ""postalCode_ranges"": ""[77693-000 77694-999]""}"
336780,76,1700301,Aguiarnópolis,TO,,1802133,aguiarnopolis,BR-TO-Aguiarnopolis,63,"{""area_sr"": 0.01956, ""area_km2"": 239, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7049}, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1399, ""elongation_factor"": 1.54, ""postalCode_ranges"": ""[77908-000 77909-999]""}"
336857,76,1700350,"Aliança do Tocantins",TO,ANZ,1802116,alianca.tocantins,BR-TO-AliancaTocantins,63,"{""area_sr"": 0.13076, ""area_km2"": 1579, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5303}, ""side_estim_km"": 39.7, ""side_estim_deg"": 0.3616, ""elongation_factor"": 2.46, ""postalCode_ranges"": ""[77455-000 77457-999]""}"
336768,76,1700400,Almas,TO,AMS,22060165,almas,BR-TO-Almas,63,"{""area_sr"": 0.33305, ""area_km2"": 4020, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6905}, ""side_estim_km"": 63.4, ""side_estim_deg"": 0.5771, ""elongation_factor"": 2.62, ""postalCode_ranges"": ""[77310-000 77314-999]""}"
336831,76,1700707,Alvorada,TO,AVO,2102493,alvorada,BR-TO-Alvorada,63,"{""area_sr"": 0.10082, ""area_km2"": 1213, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8381}, ""side_estim_km"": 34.8, ""side_estim_deg"": 0.3175, ""elongation_factor"": 2.01, ""postalCode_ranges"": ""[77480-000 77482-999]""}"
336748,76,1701002,Ananás,TO,ANW,1948373,ananas,BR-TO-Ananas,63,"{""area_sr"": 0.12917, ""area_km2"": 1581, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 9435}, ""side_estim_km"": 39.8, ""side_estim_deg"": 0.3594, ""elongation_factor"": 1.88, ""postalCode_ranges"": ""[77890-000 77892-999]""}"
336775,76,1701051,Angico,TO,,2011594,angico,BR-TO-Angico,63,"{""area_sr"": 0.03688, ""area_km2"": 451, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 3475}, ""side_estim_km"": 21.2, ""side_estim_deg"": 0.192, ""elongation_factor"": 1.56, ""postalCode_ranges"": ""[77905-000 77907-999]""}"
336847,76,1701101,"Aparecida do Rio Negro",TO,AKN,1802077,aparecida.rio.negro,BR-TO-AparecidaRioNegro,63,"{""area_sr"": 0.09565, ""area_km2"": 1160, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 4901}, ""side_estim_km"": 34.1, ""side_estim_deg"": 0.3093, ""elongation_factor"": 1.89, ""postalCode_ranges"": ""[77620-000 77629-999]""}"
336875,76,1701309,Aragominas,TO,,1801778,aragominas,BR-TO-Aragominas,63,"{""area_sr"": 0.09622, ""area_km2"": 1176, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 5705}, ""side_estim_km"": 34.3, ""side_estim_deg"": 0.3102, ""elongation_factor"": 2.87, ""postalCode_ranges"": ""[77845-000 77847-999]""}"
336771,76,1701903,Araguacema,TO,AGC,1801734,araguacema,BR-TO-Araguacema,63,"{""area_sr"": 0.22858, ""area_km2"": 2780, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7223}, ""side_estim_km"": 52.7, ""side_estim_deg"": 0.4781, ""elongation_factor"": 1.86, ""postalCode_ranges"": ""[77690-000 77692-999]""}"
