arquivo,bytes,sha256,lines
11_RO.csv,154167782,789e552102899eb088af2137371a9ecea766424258f9ee7f07ee9cdfee6027f7,965371
11_RO.zip,16310880,24af73415134f23fed8bb587f1ae64721510e9efea546706b18f4c3afac5f36a,
12_AC.csv,65331314,95a3b1d51ef57246c1acc2f574f1fd70c406427c90661926c472759acb0e1773,410525
12_AC.zip,7023748,bdbf3163f5c330f6fcfd9fe3b5881b2e8c28248f3f7cec42c11cb1a9c929667b,
13_AM.csv,266319396,d4c1ef385e1eff4afa8afc3d6fae7777c03269163bdbfade56ef4fd340bbc354,1658971
13_AM.zip,29620766,74cb2d806cf19324e3897d4a106de874a6bf7fdcc812141b96f726855c86cefc,
14_RR.csv,42054115,31c0b8d81c7e86b7e92817083685146a6e45530bac104b8d5e6b915eba985322,260516
14_RR.zip,4520527,97e52c09e4107069746afba3063bfc2a9732ac28f46e139148e55f5c05606d58,
15_PA.csv,622634425,6deaaf13408f0e11dc3ae4e8a5ac850f28845abe6a44127e2b4d5e62a6126176,3911171
15_PA.zip,103050645,8e1d971c53af3ad32c0e43e00d34e6d221c9d594cf84197acaa2dadc683616bd,
16_AP.csv,50607408,f1b7fc3b9e1d49342936307f1d77d53fcd254bfdb6848a12445ab15974b7e70b,312666
16_AP.zip,5454312,074f778510848a75aa3d156a1764643a4811431cf8ffec52f678a9dcd67c9c95,
17_TO.csv,139393755,45f4841251e7a0533cbddd0a73870749c9ebbea335faa809dd4c298183445e97,848438
17_TO.zip,15412488,71ac3af348b484cea7ac072af0aa3c9ebfefb73085684a43a490fee880b4f194,
21_MA.csv,511871279,191fcba0c529c8f1fa506c95b2664767898856bfa47317f791cc8f2267a511b5,3257844
21_MA.zip,77694765,6e2433cc017c9bed6102e4cf8018c0152e75c96c4ef94b42dee5a09aa2acd858,
22_PI.csv,303641849,08162ac22704543011c57d386082fc8d7e98aa9aed84931bffa044d10b17e66f,1891422
22_PI.zip,34838556,984ae0afb1f06dfbd9b24b86c194641109698ccb64155c4ed159edf88c7c7e79,
23_CE.csv,764528487,7bab68c4865d2853d4f63a78256d57d8657162e2bb0fe6f60f449f1bce4fb828,4750643
23_CE.zip,138747815,46d614871858029201da71147bd4309dae88f8734c8b31e6cbe4fefa1edf51fb,
24_RN.csv,298023745,c264346bc72b03011820a364f3d5b98654485a03fd922b565de02de1faeb8c23,1845004
24_RN.zip,34231013,1e76a715a68b1b99ab8407925fdfcb083df11ba5901c7ff80e4f39e5be0cc710,
25_PB.csv,369783104,dfdd45420c05ea20c7837797026f7f85ea4eddea6fc1d8357054550d1b6e3fa7,2228887
25_PB.zip,40796565,7104f6e001f5b7613b7d7e1169fcfb7d8253f839ff7feab649edf6e9f2d2f78d,
26_PE.csv,825541211,acc40b5c034a8921258ab7158858d6f5e23a151aacb9180e227fd932db7e61d9,5120483
26_PE.zip,151432961,6ba1c047acf18d5754220d8a993571ac0f03c60c28cf167f9405b0df9f91fcde,
27_AL.csv,263756151,1c1f00315b1bf07154710ec7c0c3d3fc2c8516005a835364f6981c63e571b959,1626566
27_AL.zip,29180557,9dc46c082d806b8d360135fe644ca94d8d0d88f7f076c54a3d0cd1e944edbf8e,
28_SE.csv,202653161,7a438d7fcc1fdc8e70fc0526bf6f357a924fd857ffa04b2456f80f89e65777dd,1258756
28_SE.zip,20632480,736df79493fbf1e0bc88d18aa4e7aa2acc42b8f07a22895b1bf2389df52f9e0d,
29_BA.csv,1461655217,cfa2bbf2bfe9988b73ce71ebc4563a6808f4a9c4087e4e12474e66621f4c966f,9047297
29_BA.zip,398181853,3a6aa3ec58a87374d389ce2f0f255454be8cb845498a54d14d4fa89a54019685,
31_MG.csv,1957009201,ca49af33481e5b19e8b6b468165133b04bbab764279a012fdca6fb049756febe,12038191
31_MG.zip,537151309,dbbbbcf46a739d9e43d5095af3e87928d34a5ad348e3b586917514a82fe4f5ad,
32_ES.csv,366573360,980d297f01ddb06c7a0738504a494fee253b6ce9838d3cb1e94360cc41c46507,2221349
32_ES.zip,41567902,31e58a51ae993862e9d99afcda995d8305c86d7aac5e4afcce07bf52723f0ade,
33_RJ.csv,1469294561,895c64d873d5d97c6298013cdd0eb4678e54ad5c403a8f46a65a6a1e29c9d2d9,8962201
33_RJ.zip,338096849,5f7695904b80456eb9854b51e7317ee95141332773ce84a630a7f20edd9f7f9b,
35_SP.csv,3829859937,db4f2a6183b119ca2411137a8b95ea5012d81cff25e96aa5e156d3c79ff831c5,22953726
35_SP.zip,1082015432,1949c8370a64cea539fa2b3ae87b094a072b61f86499df017ac11373a127d6fc,
41_PR.csv,1005096386,cefc10c92715d84b6bf8231c97cc37a97269b4c16782ee4ebab6679f1eece772,6122026
