pack_id,pack_count,vers,donor_id,donor_label,user_resp,accepted_date,escopo,old_pack_id
00101,01,001,1,IBGE,peter,2018-01-01,BR,01
00102,02,001,1,IBGE,igor,2020-10-06,BR,53
00103,03,001,1,IBGE,peter,2020-11-02,BR,56
00201,01,001,2,IPPUC,enio,1900-01-01,BR-PR-Curitiba,02
00301,01,001,3,OK-BR,peter,1900-01-01,BR,04
00401,01,001,4,OSM,peter,1900-01-01,BR,07
00401,01,002,4,OSM,peter,2020-10-04,BR,51
00501,01,001,5,ES-SEA,igor,2020-05-14,BR-ES-Serra,22
00601,01,001,6,ES-VTA,igor,2020-05-14,BR-ES-Vitoria,23
00701,01,001,7,ES-VVA,igor,2020-05-14,BR-ES-VilaVelha,24
00801,01,001,8,MG-BHE,igor,2020-03-19,BR-MG-BeloHorizonte,12
00901,01,001,9,MG-CEM,igor,2020-07-22,BR-MG-Contagem,33
01001,01,001,10,PE-RCE,igor,2020-05-14,BR-PE-Recife,21
01101,01,001,11,PR-CSC,igor,2020-04-14,BR-PR-Cascavel,16
01301,01,001,13,PR-MRH,igor,2020-07-10,BR-PR-MarechalCandidoRondon,30
01401,01,001,14,PR-PIN,igor,2020-06-26,BR-PR-Pinhais,29
01501,01,001,15,PR-SJP,igor,2020-04-22,BR-PR-SaoJosePinhais,19
01601,01,001,16,RJ-NRI,igor,2020-04-20,BR-RJ-Niteroi,18
01701,01,001,17,RS-GTI,igor,2021-06-23,BR-RS-Gravatai,14
01801,01,001,18,RS-PAE,igor,2020-07-27,BR-RS-PortoAlegre,27
01901,01,001,19,RS-SMA,igor,2020-07-15,BR-RS-SantaMaria,31
02001,01,001,20,SC-JGS,igor,2020-07-23,BR-SC-JaraguaSul,34
02101,01,001,21,SP-ATB,igor,2020-07-29,BR-SP-Atibaia,36
02201,01,001,22,SP-CAM,igor,2020-08-14,BR-SP-Campinas,39
02301,01,001,23,SP-GRJ,igor,2020-10-01,BR-SP-GRJ,52
02401,01,001,24,SP-ITU,igor,2020-05-07,BR-SP-Itu,10
02501,01,001,25,SP-JUN,igor,2020-06-22,BR-SP-Jundiai,28
02601,01,001,26,SP-LIM,igor,2020-04-08,BR-SP-Limeira,15
02701,01,001,27,SP-LRP,igor,2020-07-17,BR-SP-LaranjalPaulista,32
02801,01,001,28,SP-OSC,igor,2020-06-22,BR-SP-Osasco,26
02901,01,001,29,SP-SAN,igor,2020-04-24,BR-SP-Santos,20
03001,01,001,30,SP-SBC,igor,2020-06-18,BR-SP-SaoBernardoCampo,25
03101,01,001,31,SP-SCB,igor,2020-04-20,BR-SP-Sorocaba,17
03201,01,001,32,SP-SOV,igor,2020-04-02,BR-SP-SaoVicente,13
03301,01,001,33,SP-SPA,igor,2020-07-26,BR-SP-SaoPaulo,35
03401,01,001,34,MS-CPE,igor,2020-09-07,BR-MS-CampoGrande,37
03501,01,001,35,SC-JVE,igor,2020-08-11,BR-SC-Joinville,38
03601,01,001,36,SP-SLT,igor,1900-01-01,BR-SP-Salto,40
03701,01,001,37,PR-PBC,igor,2020-08-12,BR-PR-PatoBranco,41
03801,01,001,38,RJ-DQX,igor,2020-08-18,BR-RJ-DuqueCaxias,42
03901,01,001,39,MG-GVS,igor,2020-08-24,BR-MG-GovernadorValadares,43
04001,01,001,40,SP-CBV,igor,2020-08-27,BR-SP-Cabreuva,44
04101,01,001,41,SP-PIR,igor,2020-09-03,BR-SP-Piracicaba,45
04201,01,001,42,AC-RBO,igor,2020-09-10,BR-AC-RioBranco,46
04301,01,001,43,SP-SJC,igor,2020-09-15,BR-SP-SaoJoseCampos,47
04401,01,001,44,Wikimedia,peter,1900-01-01,BR,09
04501,01,001,45,PI-TSA,igor,2020-09-23,BR-PI-Teresina,48
04601,01,001,46,ECT,peter,2020-10-04,BR,49
04701,01,001,47,A4A,peter,2020-10-04,BR,50
04801,01,001,48,MS-DOS,igor,1900-01-01,BR-MS-Dourados,54
04901,01,001,49,SP-CQH,igor,2020-10-06,BR-SP-Cerquilho,55
05101,01,001,51,ClickSys-BR,peter,2020-11-04,BR,57
05201,01,001,52,SP-RPR,igor,2020-11-12,BR-SP-RibeiraoPreto,58
05301,01,001,53,IPUF,igor,2020-11-13,BR-SC-Florianopolis,59
05401,01,001,54,GO-GNA,igor,2020-12-01,BR-GO-Goiania,60
05501,01,001,55,MG-URA,igor,2020-10-15,BR-MG-Uberaba,61
05601,01,001,56,PE-CRU,igor,2020-11-16,BR-PE-Caruaru,62
05701,01,001,57,MG-ULA,igor,2020-12-03,BR-MG-Uberlandia,63
05801,01,001,58,SP-ITH,igor,2020-12-07,BR-SP-Itanhaem,64
05901,01,001,59,Paranacidade,igor,2020-12-08,BR-PR,65
06001,01,001,60,PE-PTA,igor,2020-09-16,BR-PE-Petrolina,66
06101,01,001,61,PR-AUC,igor,2020-01-13,BR-PR-Araucaria,67
06201,01,001,62,RO-JIP,igor,2020-01-19,BR-RO-JiParana,68
06301,01,001,63,RS-NHO,igor,2021-06-23,BR-RS-NovoHamburgo,69
06401,01,001,64,RS-SCR,igor,2021-06-18,BR-RS-SantaCruzSul,70
06501,01,001,65,SP-CUB,igor,2021-02-12,BR-SP-Cubatao,71
06601,01,001,66,PE-(BEZ),igor,2021-03-03,BR-PE-Bezerros,72
06701,01,001,67,SP-PLN,igor,2021-06-24,BR-SP-Paulinia,73
06801,01,001,68,DF-BSA,igor,2021-03-26,BR-DF-Brasilia,74
06901,01,001,69,RS-CSL,igor,2021-03-29,BR-RS-CaxiasSul,75
07001,01,001,70,MG-IBA,igor,2021-03-30,BR-MG-Itabira,76
07101,01,001,71,AM-MNS,igor,2021-04-28,BR-AM-Manaus,77
07201,01,001,72,PB-JPA,igor,2021-05-25,BR-PB-JoaoPessoa,78
07301,01,001,73,RN-NTL,igor,2021-06-11,BR-RN-Natal,79
07401,01,001,74,RN-SGM,igor,2021-06-15,BR-RN-SaoGoncaloAmarante,80
07501,01,001,75,SC-BQE,igor,2021-06-21,BR-SC-Brusque,81
07601,01,001,76,RS-CAN,igor,2021-06-21,BR-RS-Canoas,82
07701,01,001,77,SC-CCO,igor,2021-06-21,BR-SC-Chapeco,83
07801,01,001,78,RJ-(RJO),igor,2021-06-22,BR-RJ-RioJaneiro,84
07901,01,001,79,PR-TOO,igor,2021-06-22,BR-PR-Toledo,85
