osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
326266,76,12,Acre,BR,AC,40780,acre,BR-AC,,"{""area_sr"": 13.50128, ""area_km2"": 164079, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 405.1, ""side_estim_deg"": 3.6744, ""elongation_factor"": 2.29}"
303781,76,27,Alagoas,BR,AL,40885,alagoas,BR-AL,,"{""area_sr"": 2.73019, ""area_km2"": 33151, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 182.1, ""side_estim_deg"": 1.6523, ""elongation_factor"": 2.19}"
331463,76,16,Amapá,BR,AP,40130,amapa,BR-AP,,"{""area_sr"": 12.81162, ""area_km2"": 157610, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 397, ""side_estim_deg"": 3.5793, ""elongation_factor"": 2.22}"
332476,76,13,Amazonas,BR,AM,40040,amazonas,BR-AM,,"{""area_sr"": 127.0921, ""area_km2"": 1558540, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 1248.4, ""side_estim_deg"": 11.2735, ""elongation_factor"": 2.06}"
362413,76,29,Bahia,BR,BA,40430,bahia,BR-BA,,"{""area_sr"": 49.08251, ""area_km2"": 589601, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 767.9, ""side_estim_deg"": 7.0059, ""elongation_factor"": 2.32}"
302635,76,23,Ceará,BR,CE,40123,ceara,BR-CE,,"{""area_sr"": 13.19958, ""area_km2"": 161844, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 402.3, ""side_estim_deg"": 3.6331, ""elongation_factor"": 1.64}"
421151,76,53,"Distrito Federal",BR,DF,119158,distrito.federal,BR-DF,,"{""area_sr"": 0.48794, ""area_km2"": 5785, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 76.1, ""side_estim_deg"": 0.6985, ""elongation_factor"": 1.4}"
54882,76,32,"Espírito Santo",BR,ES,43233,espirito.santo,BR-ES,,"{""area_sr"": 5.15616, ""area_km2"": 59830, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 244.6, ""side_estim_deg"": 2.2707, ""elongation_factor"": 4.02}"
334443,76,52,Goiás,BR,GO,41587,goias,BR-GO,,"{""area_sr"": 28.72509, ""area_km2"": 340018, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 583.1, ""side_estim_deg"": 5.3596, ""elongation_factor"": 2.42}"
332924,76,21,Maranhão,BR,MA,42362,maranhao,BR-MA,,"{""area_sr"": 28.9362, ""area_km2"": 354718, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 595.6, ""side_estim_deg"": 5.3792, ""elongation_factor"": 2.25}"
333597,76,51,"Mato Grosso",BR,MT,42824,mato.grosso,BR-MT,,"{""area_sr"": 75.30864, ""area_km2"": 903264, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 950.4, ""side_estim_deg"": 8.6781, ""elongation_factor"": 1.79}"
334051,76,50,"Mato Grosso do Sul",BR,MS,43319,mato.grosso.sul,BR-MS,,"{""area_sr"": 30.90202, ""area_km2"": 357137, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 597.6, ""side_estim_deg"": 5.559, ""elongation_factor"": 1.78}"
315173,76,31,"Minas Gerais",BR,MG,39109,minas.gerais,BR-MG,,"{""area_sr"": 50.19844, ""area_km2"": 586555, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 765.9, ""side_estim_deg"": 7.0851, ""elongation_factor"": 2.3}"
297640,76,41,Paraná,BR,PR,15499,parana,BR-PR,,"{""area_sr"": 18.06342, ""area_km2"": 202518, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 450, ""side_estim_deg"": 4.2501, ""elongation_factor"": 1.89}"
301464,76,25,Paraíba,BR,PB,38088,paraiba,BR-PB,,"{""area_sr"": 4.85268, ""area_km2"": 59283, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 243.5, ""side_estim_deg"": 2.2029, ""elongation_factor"": 2.98}"
185579,76,15,Pará,BR,PA,39517,para,BR-PA,,"{""area_sr"": 104.10597, ""area_km2"": 1276764, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 1129.9, ""side_estim_deg"": 10.2032, ""elongation_factor"": 1.75}"
303702,76,26,Pernambuco,BR,PE,40942,pernambuco,BR-PE,,"{""area_sr"": 8.59176, ""area_km2"": 104697, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 323.6, ""side_estim_deg"": 2.9312, ""elongation_factor"": 4.62}"
302819,76,22,Piauí,BR,PI,42722,piaui,BR-PI,,"{""area_sr"": 20.72956, ""area_km2"": 252981, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 503, ""side_estim_deg"": 4.553, ""elongation_factor"": 2.34}"
301079,76,24,"Rio Grande do Norte",BR,RN,43255,rio.grande.norte,BR-RN,,"{""area_sr"": 5.16796, ""area_km2"": 63302, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 251.6, ""side_estim_deg"": 2.2733, ""elongation_factor"": 2.57}"
242620,76,43,"Rio Grande do Sul",BR,RS,40030,rio.grande.sul,BR-RS,,"{""area_sr"": 27.54432, ""area_km2"": 294886, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 543, ""side_estim_deg"": 5.2483, ""elongation_factor"": 2.12}"
57963,76,33,"Rio de Janeiro",BR,RJ,41428,rio.janeiro,BR-RJ,,"{""area_sr"": 5.42077, ""area_km2"": 61815, ""fat_deg_m"": 0.0000094, ""side_estim_km"": 248.6, ""side_estim_deg"": 2.3283, ""elongation_factor"": 2.32}"
325866,76,11,Rondônia,BR,RO,43235,rondonia,BR-RO,,"{""area_sr"": 19.66394, ""area_km2"": 237718, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 487.6, ""side_estim_deg"": 4.4344, ""elongation_factor"": 2.29}"
