pack_id;donor_id;pack_count;lst_vers;donor_label;user_resp;accepted_date;scope;about;author;contentReferenceTime;license_is_explicit;license;uri_objType;uri;isAt_UrbiGIS;status;comments;readme
101;1;1;1;IBGE;peter;01/01/00;BR;"original-addressPoint; Censo Agro 2017 do IBGE";(self);2017;yes;CC0;site;https://censos.ibge.gov.br/agro/2017/;no;2;;
102;1;2;1;IBGE;igor;06/10/20;BR;Faces de quadras;(self);2019;;CC0;;https://www.ibge.gov.br/geociencias/downloads-geociencias.html?caminho=recortes_para_fins_estatisticos/malha_de_setores_censitarios/censo_2010/base_de_faces_de_logradouros_versao_2019;no;2;;
103;1;3;1;IBGE;peter;02/11/20;BR;Divisão Territorial Brasileira - DTB;(self);2019;no;CC0;site;https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/23701-divisao-territorial-brasileira.html?=&t=downloads&utm_source=landing&utm_medium=explica&utm_campaign=codmun;no;2;;
201;2;1;1;IPPUC;enio;01/01/00;BR-PR-Curitiba;"( REMOVIDO 29/12/2021 - USAR OSM-BR ) original-addressPoint-local; Dados Geográficos de Curitiba";(self);2018;yes;"CC0; (non-standard)";"email;site";"(anexo de email); http://ippuc.org.br/geodownloads/geo.htm";no;2;;
301;3;1;1;OK-BR;peter;01/01/00;BR;"controlledVoc; city-codes and state-codes";many;2020;yes;CC0;site;http://datasets.ok.org.br/city-codes;no;2;;
401;4;1;3;OSM;claiton;31/01/22;BR;Planet OSM, todos os dados;(self);01/02/22;yes;ODbL;site;http://download.geofabrik.de/south-america/brazil-latest.osm.pbf;no;6;;
501;5;1;1;ES-SEA;igor;14/05/20;BR-ES-Serra;Bairros, eixos, lotes;(self);2019;no;CC0;email;http://drive.google.com/open?id=0ByzRD7X96jzScHJiNF9xaHpEcGM;yes;2;;
601;6;1;1;ES-VTA;igor/luis;14/05/20;BR-ES-Vitoria;Bairros, eixos, lotes e edificacoes;(self);2020;yes;CC0;site;http://geoweb.vitoria.es.gov.br/#/shp;yes;5;Novo;
701;7;1;1;ES-VVA;igor;14/05/20;BR-ES-VilaVelha;Bairros, eixos, lotes;(self);2019;yes;CC0;site;https://www.vilavelha.es.gov.br/paginas/desenvolvimento-urbano-e-mobilidade-arquivos-de-georreferenciamento;yes;6;;
801;8;1;1;MG-BHE;igor;19/03/20;BR-MG-BeloHorizonte;Pontos com rua e número, eixo;(self);2019;yes;CC0;email,site;(anexo de email),https://bhmap.pbh.gov.br/;part;6;;
901;9;1;1;MG-CEM;igor;22/07/20;BR-MG-Contagem;Bairros, eixos, endereços, lotes, quadras;(self);2019;yes;CC0;email;(anexo de email);yes;6;;
1001;10;1;1;PE-RCE;igor;14/05/20;BR-PE-Recife;Bairros, eixos, lotes;(self);2019;no;CC0;site;http://www.recife.pe.gov.br/ESIG/documentos/Informacao/InformacaoManualArquivos.htm;yes;6;;
1101;11;1;1;PR-CSC;igor;14/04/20;BR-PR-Cascavel;Lotes, eixos, divisa de bairro;(self);2019;no;CC0;email;(anexo de email);yes;6;;
1301;13;1;1;PR-MRH;igor;10/07/20;BR-PR-MarechalCandidoRondon;Arquivo DWG-CAD incompleto;(self);2019;no;CC0;email;(anexo de email);no;2;;
1401;14;1;1;PR-PIN;igor;26/06/20;BR-PR-Pinhais;Bairros, eixos, lotes;(self);2019;no;CC0;site;http://www.pinhais.pr.gov.br/geo/mapa/pinhais/;yes;6;;
1501;15;1;1;PR-SJP;igor;22/04/20;BR-PR-SaoJosePinhais;Bairros, eixos, lotes, pontos de numeração de casa;(self);2019;yes;CC0;email;(anexo de email);yes;2;;
1601;16;1;1;RJ-NRI;igor;16/08/22;BR-RJ-Niteroi;Bairros, eixos, empresas, lotes;(self);2022;no;CC0;site;http://transparencia.niteroi.rj.gov.br/Dados-Abertos/dados-abertos.html;yes;2;https://github.com/digital-guard/preserv-BR/issues/36;
1701;17;1;1;RS-GTI;igor;23/06/21;BR-RS-Gravatai;Eixos, bairros, planilha de endereços.;(self);2019;no;CC0;email;(anexo de email);yes;2;necessario revisar - ver dados para join no OneDrive;
1801;18;1;1;RS-PAE;igor;27/07/20;BR-RS-PortoAlegre;Bairros, eixos, pontos de numeração de casa;(self);2019;yes;CC0;email;(anexo de email);no;6;;
1901;19;1;1;RS-SMA;igor;15/07/20;BR-RS-SantaMaria;Bairros;(self);2019;yes;CC0;email;(anexo de email);no;6;;
2001;20;1;1;SC-JGS;igor;23/07/20;BR-SC-JaraguaSul;Eixos, edificação, quadras;(self);2019;no;CC0,(decreto municipal);osm,email;(anexo de email);yes;2;;
2101;21;1;1;SP-ATB;igor;10/09/20;BR-SP-Atibaia;Via,parcel,building;(self);2019;yes;CC0;email;(anexo de email);no;4;Carlos;
2201;22;1;1;SP-CAM;igor;14/08/20;BR-SP-Campinas;Eixos, loteamentos, pontos de lotes;(self);2019;no;CC0;site;https://informacao-didc.campinas.sp.gov.br/metadados.php;no;6;;
2301;23;1;1;SP-GRJ;igor;01/10/20;BR-SP-Guaruja;Mapa em DWG;(self);2019;;CC0;email;(anexo de email);no;2;;
2401;24;1;1;SP-ITU;igor;07/05/20;BR-SP-Itu;Loteamento, edificação, eixo, lote e quadra;(self);2019;yes;CC0;email;(anexo de email);yes;6;;
2501;25;1;1;SP-JUN;igor;22/06/20;BR-SP-Jundiai;Bairros, eixos, lotes, edificação;(self);2019;no;CC0;site;https://geo.jundiai.sp.gov.br/geoserver/web/;yes;2;https://github.com/digital-guard/preserv-BR/issues/100;
2601;26;1;1;SP-LIM;igor;01/02/21;BR-SP-Limeira;Lotes, eixos, quadras, loteamentos, equipamentos, mapa urbano básico;(self);2021;no;CC0;site,email;https://www.limeira.sp.gov.br/sitenovo/simple_hotsite.php?id=29&simple=118;no;5;Novo;
2701;27;1;1;SP-LRP;igor;17/07/20;BR-SP-LaranjalPaulista;Eixos, edificação, lotes;(self);2019;yes;CC0;email;(anexo de email);yes;2;;
2801;28;1;1;SP-OSC;igor;22/06/20;BR-SP-Osasco;Bairros, eixos, lotes, limite de município;(self);2019;no;CC0;email;(anexo de email);yes;6;;
2901;29;1;1;SP-SAN;igor;24/04/20;BR-SP-Santos;Pontos com inscrição do lote;(self);2019;no;CC0;email;(anexo de email);yes;6;;
3001;30;1;1;SP-SBC;igor;18/06/20;BR-SP-SaoBernardoCampo;Bairros, eixos, lotes, pontos de endereços;(self);2019;no;CC0;site,email;https://geo.saobernardo.sp.gov.br/;yes;6;;
3101;31;1;1;SP-SCB;igor;20/04/20;BR-SP-Sorocaba;Eixos;(self);2019;no;CC0;email;(anexo de email);yes;6;;
3201;32;1;1;SP-SOV;igor;02/04/20;BR-SP-SaoVicente;CSV dos pontos de numeração de casa;(self);2019;no;CC0;email;(anexo de email);yes;2;;
3301;33;1;1;SP-SPA;igor;26/07/20;BR-SP-SaoPaulo;Distritos, subprefeituras, eixos, lotes, edificação;(self);2019;no;CC0,(lei municipal);site;http://geosampa.prefeitura.sp.gov.br/PaginasPublicas/_SBC.aspx;yes;6;;
3401;34;1;1;MS-CPE;igor;07/09/20;BR-MS-CampoGrande;Lotes, loteamentos;(self);2019;no;CC0;email;(anexo de email);no;6;;
3501;35;1;1;SC-JVE;igor;11/08/20;BR-SC-Joinville;Lotes, eixos, edificações e quadras;(self);2019;yes;CC0;site;https://geoprocessamento.joinville.sc.gov.br/download;no;6;;
3601;36;1;1;SP-SLT;igor;01/01/00;BR-SP-Salto;(sem material);(self);2019;no;CC0;(vazio);http://www.geosalto.geonet.net.br/;no;2;;
